date,code,open,high,low,close,volume,value,trans,adj,exchange,datasource,log_return
2014-10-14,SPY,214.0,214.66,213.95,213.95,3320,710808,6,1,AXW,TME,-0.012909996337484896
2014-10-15,SPY,216.63,217.09,216.63,217.09,1230,266561,2,1,AXW,TME,0.01456967123783833
2014-10-17,SPY,212.42,213.06,212.42,213.06,1622,344861,3,1,AXW,TME,-0.018738197917612446
2014-10-20,SPY,216.16,216.16,216.16,216.16,68,14699,1,1,AXW,TME,0.014445058028837174
2014-10-22,SPY,221.75,221.75,221.75,221.75,9,1996,1,1,AXW,TME,0.02553174697780014
2014-10-28,SPY,223.38,223.38,222.85,223.1,322,71889,4,1,AXW,TME,0.006069480248798018
2014-10-29,SPY,223.82,223.82,223.69,223.69,472,105614,3,1,AXW,TME,0.0026410633315340935
2014-10-30,SPY,225.26,225.59,225.15,225.59,1382,311402,9,1,AXW,TME,0.008458027630311307
2014-10-31,SPY,226.36,226.36,226.36,226.36,30,6791,1,1,AXW,TME,0.0034074598739908357
2014-11-03,SPY,231.1,231.1,230.81,230.81,218,50329,2,1,AXW,TME,0.0194682089773358
2014-11-04,SPY,232.06,232.09,231.55,231.55,337,78192,4,1,AXW,TME,0.0032009716751022228
2014-11-05,SPY,231.55,231.55,229.62,230.47,461,106157,4,1,AXW,TME,-0.00467513080436182
2014-11-06,SPY,236.0,236.3,236.0,236.1,890,210129,5,1,AXW,TME,0.02413474196906791
2014-11-07,SPY,237.63,237.99,237.6,237.99,1163,276637,5,1,AXW,TME,0.007973211890554109
2014-11-10,SPY,235.28,235.28,235.0,235.16,140,32922,3,1,AXW,TME,-0.011962522447967156
2014-11-11,SPY,236.5,236.58,236.45,236.45,602,142373,3,1,AXW,TME,0.005470635555830491
2014-11-12,SPY,235.23,235.23,235.05,235.19,282,66311,5,1,AXW,TME,-0.005343070976089169
2014-11-13,SPY,234.2,234.2,234.2,234.2,42,9836,1,1,AXW,TME,-0.00421824695017866
2014-11-14,SPY,234.45,235.12,234.45,235.12,128,30053,2,1,AXW,TME,0.003920570947044934
2014-11-17,SPY,233.72,233.72,231.85,231.85,367,85681,4,1,AXW,TME,-0.014005411273192147
2014-11-18,SPY,235.12,235.12,234.72,234.72,63,14811,2,1,AXW,TME,0.012302703557201734
2014-11-19,SPY,236.39,237.28,236.39,237.26,404,95660,5,1,AXW,TME,0.01076327183828561
2014-11-20,SPY,238.7,238.7,238.3,238.62,760,181361,9,1,AXW,TME,0.005715742214697151
2014-11-21,SPY,238.76,238.76,238.25,238.25,905,215680,3,1,AXW,TME,-0.0015517859133428167
2014-11-26,SPY,242.95,242.95,242.88,242.88,92,22349,2,1,AXW,TME,0.019246951672953556
2014-11-27,SPY,243.19,243.64,242.0,242.0,270,65697,9,1,AXW,TME,-0.0036297680505787237
2014-12-01,SPY,244.08,245.44,244.08,245.44,276,67687,2,1,AXW,TME,0.014114792022204939
2014-12-02,SPY,241.83,241.83,241.83,241.83,83,20072,1,1,AXW,TME,-0.014817518215272071
2014-12-04,SPY,248.08,248.08,248.08,248.08,80,19846,1,1,AXW,TME,0.02551627482857431
2014-12-05,SPY,247.91,248.41,247.8,248.41,664,164611,11,1,AXW,TME,0.0013293321057659846
2014-12-08,SPY,250.87,251.06,250.18,251.06,1788,447716,9,1,AXW,TME,0.010611347492102794
2014-12-09,SPY,252.0,252.0,249.24,250.16,2174,543438,18,1,AXW,TME,-0.003591241240476538
2014-12-10,SPY,252.0,252.0,248.0,248.0,436,108402,10,1,AXW,TME,-0.008671966984603633
2014-12-11,SPY,245.0,245.0,242.91,244.05,512,124755,7,1,AXW,TME,-0.016055623831825624
2014-12-12,SPY,246.5,246.5,245.9,245.9,48,11827,2,1,AXW,TME,0.007551826888990343
2014-12-15,SPY,245.0,245.0,242.8,244.9,249,60780,10,1,AXW,TME,-0.004074985264024847
2014-12-16,SPY,243.28,244.16,243.0,243.12,570,138843,7,1,AXW,TME,-0.007294815349584474
2014-12-17,SPY,243.5,243.5,242.0,242.0,138,33436,4,1,AXW,TME,-0.004617422451851263
2014-12-18,SPY,242.3,249.0,242.3,248.3,923,227023,9,1,AXW,TME,0.025699966357434628
2014-12-19,SPY,253.43,253.43,253.43,253.43,39,9884,1,1,AXW,TME,0.020449958262782425
2014-12-22,SPY,254.36,254.67,254.36,254.67,296,75351,2,1,AXW,TME,0.004880938641082753
2014-12-23,SPY,255.2,255.69,254.66,255.69,63165,16088307,12,1,AXW,TME,0.003997183784329798
2014-12-24,SPY,256.74,256.82,256.63,256.63,245,62900,6,1,AXW,TME,0.0036695856293932315
2014-12-29,SPY,258.35,258.35,258.19,258.19,34,8782,2,1,AXW,TME,0.006060389163895182
2014-12-30,SPY,258.16,258.16,258.0,258.0,319,82339,4,1,AXW,TME,-0.0007361630739869619
2014-12-31,SPY,255.2,255.2,253.84,253.84,153,39002,4,1,AXW,TME,-0.016255437646677307
2015-01-02,SPY,253.33,253.33,253.33,253.33,157,39773,1,1,AXW,TME,-0.0020111606439756746
2015-01-05,SPY,254.0,254.75,253.0,254.75,233,59139,12,1,AXW,TME,0.005589685471869703
2015-01-06,SPY,252.0,252.0,248.6,248.6,306,76738,8,1,AXW,TME,-0.02443749302622353
2015-01-07,SPY,248.18,248.6,248.04,248.43,274,68001,7,1,AXW,TME,-0.0006840633628922557
2015-01-08,SPY,250.9,251.23,250.75,251.23,64,16068,3,1,AXW,TME,0.011207738501110792
2015-01-09,SPY,252.98,252.98,252.84,252.95,442,111789,5,1,AXW,TME,0.006822986523115831
2015-01-12,SPY,248.72,248.87,247.65,247.71,362,89937,11,1,AXW,TME,-0.020933133640498185
2015-01-13,SPY,249.0,249.0,247.74,247.91,660,164283,4,1,AXW,TME,0.0008070699764174319
2015-01-14,SPY,247.72,247.72,246.0,246.0,479,118507,8,1,AXW,TME,-0.00773424114150165
2015-01-15,SPY,247.72,247.91,245.11,245.11,382,94289,7,1,AXW,TME,-0.0036244465569772767
2015-01-16,SPY,242.82,242.82,240.05,240.05,381,91878,8,1,AXW,TME,-0.02085985439843607
2015-01-19,SPY,245.8,245.8,245.7,245.71,157,38585,3,1,AXW,TME,0.0233047437626599
2015-01-20,SPY,246.3,246.98,246.3,246.98,202,49759,5,1,AXW,TME,0.0051553829500669566
2015-01-21,SPY,247.42,247.42,246.51,247.13,161,39788,4,1,AXW,TME,0.0006071522721981109
2015-01-22,SPY,252.33,252.66,252.33,252.47,326,82314,6,1,AXW,TME,0.02137791581366121
2015-01-23,SPY,257.43,257.43,256.48,257.1,380,97671,8,1,AXW,TME,0.01817268449630819
2015-01-27,SPY,260.0,260.12,260.0,260.12,263,68395,4,1,AXW,TME,0.0116779487291073
2015-01-28,SPY,257.75,257.75,255.0,255.99,333,85585,4,1,AXW,TME,-0.016004681784347954
2015-01-29,SPY,256.0,256.0,253.37,253.37,238,60316,3,1,AXW,TME,-0.010287510235597033
2015-01-30,SPY,260.4,260.4,259.19,259.36,360,93542,7,1,AXW,TME,0.02336618700635991
2015-02-02,SPY,256.3,256.92,256.3,256.92,146,37470,3,1,AXW,TME,-0.009452305597774276
2015-02-03,SPY,258.64,263.49,258.0,263.49,606,158915,3,1,AXW,TME,0.025250664207543922
2015-02-04,SPY,266.0,266.0,261.83,261.83,484,127316,7,1,AXW,TME,-0.006319978395354842
2015-02-05,SPY,262.37,262.37,261.0,261.0,190,49722,11,1,AXW,TME,-0.00317503087908754
2015-02-06,SPY,263.21,263.21,263.21,263.21,19,5001,1,1,AXW,TME,0.008431785327690544
2015-02-09,SPY,264.3,264.49,263.84,263.88,436,115214,5,1,AXW,TME,0.0025422617042861104
2015-02-10,SPY,266.0,266.0,262.35,262.35,283,74592,4,1,AXW,TME,-0.005814964221949236
2015-02-11,SPY,265.94,266.23,265.94,266.23,142,37800,3,1,AXW,TME,0.014681106698570987
2015-02-12,SPY,269.57,269.57,269.57,269.57,20,5391,1,1,AXW,TME,0.012467500050838841
2015-02-13,SPY,270.2,270.2,269.0,269.52,855,230390,8,1,AXW,TME,-0.00018549778383344673
2015-02-16,SPY,269.55,269.55,269.55,269.55,8,2156,1,1,AXW,TME,0.00011130279938037739
2015-02-17,SPY,269.18,269.18,268.36,268.36,280,75144,3,1,AXW,TME,-0.004424539202990393
2015-02-18,SPY,268.62,268.62,268.5,268.5,77,20679,2,1,AXW,TME,0.0005215512542319269
2015-02-19,SPY,269.27,269.27,268.41,268.41,303,81412,6,1,AXW,TME,-0.0003352517213049542
2015-02-23,SPY,269.62,269.83,268.98,269.83,833,224448,5,1,AXW,TME,0.005276468841154086
2015-02-24,SPY,271.42,271.42,271.42,271.42,4,1086,1,1,AXW,TME,0.005875305584456286
2015-02-25,SPY,270.44,270.44,269.5,269.5,149,40169,4,1,AXW,TME,-0.007099046304172829
2015-02-26,SPY,269.5,269.5,268.0,268.0,21,5657,2,1,AXW,TME,-0.005581409838195152
2015-02-27,SPY,271.53,271.53,271.53,271.53,15,4073,1,1,AXW,TME,0.01308564999633223
2015-03-02,SPY,272.19,272.22,272.19,272.22,34,9255,2,1,AXW,TME,0.0025379323967386846
2015-03-03,SPY,273.53,273.58,271.65,271.65,298,81314,3,1,AXW,TME,-0.0020960899063956276
2015-03-04,SPY,269.92,270.0,268.99,268.99,426,114955,3,1,AXW,TME,-0.009840268807879504
2015-03-05,SPY,269.65,269.65,269.35,269.35,245,66009,3,1,AXW,TME,0.0013374449368903877
