date,code,open,high,low,close,volume,value,trans,adj,exchange,datasource,log_return,symbol_qse,symbol_sax,symbol_vre
2014-10-14,SPY,214.0,214.66,213.95,213.95,3320,710808,6,1,AXW,TME,-0.0129099963374848,A,A,X
2014-10-15,SPY,216.63,217.09,216.63,217.09,1230,266561,2,1,AXW,TME,0.0145696712378383,E,E,X
2014-10-17,SPY,212.42,213.06,212.42,213.06,1622,344861,3,1,AXW,TME,-0.0187381979176124,A,A,X
2014-10-20,SPY,216.16,216.16,216.16,216.16,68,14699,1,1,AXW,TME,0.0144450580288371,E,E,X
2014-10-22,SPY,221.75,221.75,221.75,221.75,9,1996,1,1,AXW,TME,0.0255317469778001,E,E,X
2014-10-28,SPY,223.38,223.38,222.85,223.1,322,71889,4,1,AXW,TME,0.006069480248798,D,D,X
2014-10-29,SPY,223.82,223.82,223.69,223.69,472,105614,3,1,AXW,TME,0.002641063331534,C,C,X
2014-10-30,SPY,225.26,225.59,225.15,225.59,1382,311402,9,1,AXW,TME,0.0084580276303113,E,D,X
2014-10-31,SPY,226.36,226.36,226.36,226.36,30,6791,1,1,AXW,TME,0.0034074598739908,D,D,X
2014-11-03,SPY,231.1,231.1,230.81,230.81,218,50329,2,1,AXW,TME,0.0194682089773358,E,E,X
2014-11-04,SPY,232.06,232.09,231.55,231.55,337,78192,4,1,AXW,TME,0.0032009716751022,D,D,X
2014-11-05,SPY,231.55,231.55,229.62,230.47,461,106157,4,1,AXW,TME,-0.0046751308043618,B,B,X
2014-11-06,SPY,236.0,236.3,236.0,236.1,890,210129,5,1,AXW,TME,0.0241347419690679,E,E,X
2014-11-07,SPY,237.63,237.99,237.6,237.99,1163,276637,5,1,AXW,TME,0.0079732118905541,E,D,X
2014-11-10,SPY,235.28,235.28,235.0,235.16,140,32922,3,1,AXW,TME,-0.0119625224479671,A,A,X
2014-11-11,SPY,236.5,236.58,236.45,236.45,602,142373,3,1,AXW,TME,0.0054706355558304,D,D,X
2014-11-12,SPY,235.23,235.23,235.05,235.19,282,66311,5,1,AXW,TME,-0.0053430709760891,B,B,X
2014-11-13,SPY,234.2,234.2,234.2,234.2,42,9836,1,1,AXW,TME,-0.0042182469501786,B,B,X
2014-11-14,SPY,234.45,235.12,234.45,235.12,128,30053,2,1,AXW,TME,0.0039205709470449,D,D,X
2014-11-17,SPY,233.72,233.72,231.85,231.85,367,85681,4,1,AXW,TME,-0.0140054112731921,A,A,E
2014-11-18,SPY,235.12,235.12,234.72,234.72,63,14811,2,1,AXW,TME,0.0123027035572017,E,E,E
2014-11-19,SPY,236.39,237.28,236.39,237.26,404,95660,5,1,AXW,TME,0.0107632718382856,E,E,E
2014-11-20,SPY,238.7,238.7,238.3,238.62,760,181361,9,1,AXW,TME,0.0057157422146971,D,D,D
2014-11-21,SPY,238.76,238.76,238.25,238.25,905,215680,3,1,AXW,TME,-0.0015517859133428,B,C,D
2014-11-26,SPY,242.95,242.95,242.88,242.88,92,22349,2,1,AXW,TME,0.0192469516729535,E,E,D
2014-11-27,SPY,243.19,243.64,242.0,242.0,270,65697,9,1,AXW,TME,-0.0036297680505787,B,B,D
2014-12-01,SPY,244.08,245.44,244.08,245.44,276,67687,2,1,AXW,TME,0.0141147920222049,E,E,D
