Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,AUDJPY,98.252,98.875,97.665,98.215,0,0,0,1,FX,NFX
18-Mar-1997,AUDJPY,96.928,98.165,96.025,96.595,0,0,0,1,FX,NFX
19-Mar-1997,AUDJPY,96.595,97.095,96.245,96.625,0,0,0,1,FX,NFX
20-Mar-1997,AUDJPY,96.625,97.405,96.625,97.315,0,0,0,1,FX,NFX
21-Mar-1997,AUDJPY,96.652,97.445,95.965,96.545,0,0,0,1,FX,NFX
24-Mar-1997,AUDJPY,96.702,97.035,96.155,96.915,0,0,0,1,FX,NFX
25-Mar-1997,AUDJPY,96.888,97.465,96.455,96.745,0,0,0,1,FX,NFX
26-Mar-1997,AUDJPY,96.745,97.505,96.705,97.345,0,0,0,1,FX,NFX
27-Mar-1997,AUDJPY,97.085,97.765,96.495,96.995,0,0,0,1,FX,NFX
28-Mar-1997,AUDJPY,97.062,97.355,96.635,97.195,0,0,0,1,FX,NFX
31-Mar-1997,AUDJPY,97.185,97.495,96.755,97.305,0,0,0,1,FX,NFX
01-Apr-1997,AUDJPY,97.305,97.585,95.395,95.695,0,0,0,1,FX,NFX
02-Apr-1997,AUDJPY,95.695,96.865,95.685,96.565,0,0,0,1,FX,NFX
03-Apr-1997,AUDJPY,95.822,96.805,95.195,95.465,0,0,0,1,FX,NFX
04-Apr-1997,AUDJPY,96.455,96.455,96.455,96.455,0,0,0,1,FX,NFX
07-Apr-1997,AUDJPY,97.268,97.855,96.355,97.595,0,0,0,1,FX,NFX
08-Apr-1997,AUDJPY,97.595,98.735,97.065,98.615,0,0,0,1,FX,NFX
09-Apr-1997,AUDJPY,99.585,99.585,99.585,99.585,0,0,0,1,FX,NFX
10-Apr-1997,AUDJPY,98.848,99.895,97.835,98.815,0,0,0,1,FX,NFX
11-Apr-1997,AUDJPY,98.815,99.555,98.675,99.055,0,0,0,1,FX,NFX
14-Apr-1997,AUDJPY,98.695,99.195,98.215,98.675,0,0,0,1,FX,NFX
15-Apr-1997,AUDJPY,98.675,98.675,97.325,97.545,0,0,0,1,FX,NFX
16-Apr-1997,AUDJPY,97.252,97.915,96.565,97.275,0,0,0,1,FX,NFX
17-Apr-1997,AUDJPY,97.275,98.565,96.565,97.745,0,0,0,1,FX,NFX
18-Apr-1997,AUDJPY,97.745,97.945,97.225,97.305,0,0,0,1,FX,NFX
21-Apr-1997,AUDJPY,97.605,98.215,97.135,97.465,0,0,0,1,FX,NFX
22-Apr-1997,AUDJPY,97.975,98.415,97.365,98.145,0,0,0,1,FX,NFX
23-Apr-1997,AUDJPY,98.145,98.355,97.625,97.945,0,0,0,1,FX,NFX
24-Apr-1997,AUDJPY,97.945,98.285,97.475,98.025,0,0,0,1,FX,NFX
25-Apr-1997,AUDJPY,98.025,98.355,97.515,97.735,0,0,0,1,FX,NFX
28-Apr-1997,AUDJPY,98.598,99.265,97.515,99.015,0,0,0,1,FX,NFX
29-Apr-1997,AUDJPY,99.122,99.535,98.605,99.225,0,0,0,1,FX,NFX
30-Apr-1997,AUDJPY,99.225,99.385,98.885,99.225,0,0,0,1,FX,NFX
01-May-1997,AUDJPY,99.428,100.085,98.935,99.265,0,0,0,1,FX,NFX
02-May-1997,AUDJPY,99.265,99.585,98.975,99.105,0,0,0,1,FX,NFX
05-May-1997,AUDJPY,98.903,99.25,98.645,98.815,0,0,0,1,FX,NFX
06-May-1997,AUDJPY,98.815,99.295,97.265,97.56,0,0,0,1,FX,NFX
07-May-1997,AUDJPY,97.728,99.295,96.615,97.275,0,0,0,1,FX,NFX
08-May-1997,AUDJPY,96.752,97.87,95.935,96.45,0,0,0,1,FX,NFX
09-May-1997,AUDJPY,96.45,96.715,92.675,93.26,0,0,0,1,FX,NFX
12-May-1997,AUDJPY,92.545,93.255,91.43,92.95,0,0,0,1,FX,NFX
13-May-1997,AUDJPY,92.95,93.485,91.985,91.995,0,0,0,1,FX,NFX
14-May-1997,AUDJPY,91.608,92.69,90.935,91.2,0,0,0,1,FX,NFX
15-May-1997,AUDJPY,91.2,91.23,89.055,90.005,0,0,0,1,FX,NFX
