Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,BHP,6.0709,6.0895,5.9932,6.0003,5714545,34647400,690,0.3567,ASX,TME
18-Mar-1997,BHP,5.9828,6.0146,5.9682,5.9896,15725944,95110000,717,0.3567,ASX,TME
19-Mar-1997,BHP,5.9596,6.0253,5.9539,6.0253,11664810,70344700,764,0.3567,ASX,TME
20-Mar-1997,BHP,6.0388,6.1144,6.0345,6.1109,10532626,64085200,709,0.3567,ASX,TME
21-Mar-1997,BHP,6.0948,6.1787,6.0823,6.1216,14475381,88778700,772,0.3567,ASX,TME
24-Mar-1997,BHP,6.1112,6.143,6.0823,6.093,5864207,36268400,445,0.3567,ASX,TME
25-Mar-1997,BHP,6.1287,6.1501,6.0645,6.0645,6882077,42134900,525,0.3567,ASX,TME
26-Mar-1997,BHP,6.0534,6.093,6.036,6.0538,10868926,66184600,541,0.3567,ASX,TME
27-Mar-1997,BHP,6.0998,6.1109,6.0502,6.0645,81351067,451838000,1264,0.3567,ASX,TME
28-Mar-1997,BHP,,6.0645,6.0645,6.0645,0,0,0,0.3567,ASX,TME
31-Mar-1997,BHP,,6.0645,6.0645,6.0645,0,0,0,0.3567,ASX,TME
01-Apr-1997,BHP,5.9075,5.9361,5.8683,5.8933,11758549,69605000,911,0.3567,ASX,TME
02-Apr-1997,BHP,5.9336,5.9753,5.9218,5.9539,10183936,60578300,797,0.3567,ASX,TME
03-Apr-1997,BHP,5.9115,6.0538,5.9107,6.0431,13282957,79582000,833,0.3567,ASX,TME
04-Apr-1997,BHP,6.0381,6.0752,6.0146,6.0609,9195192,55619300,666,0.3567,ASX,TME
07-Apr-1997,BHP,6.0788,6.118,5.9967,6.0228,6188594,37332000,513,0.3567,ASX,TME
08-Apr-1997,BHP,6.0078,6.0253,5.9753,5.9753,6144471,36838000,558,0.3567,ASX,TME
09-Apr-1997,BHP,6.0174,6.0645,5.986,6.0253,7231131,43506000,600,0.3567,ASX,TME
10-Apr-1997,BHP,6.0031,6.0574,6.0028,6.0445,8111700,48963200,497,0.3567,ASX,TME
11-Apr-1997,BHP,6.0235,6.0345,5.9825,5.9896,5664984,34038100,468,0.3567,ASX,TME
14-Apr-1997,BHP,5.9293,5.9432,5.9004,5.9432,5885792,35293800,557,0.3567,ASX,TME
15-Apr-1997,BHP,5.9603,5.9967,5.9218,5.9218,9209180,55190400,671,0.3567,ASX,TME
16-Apr-1997,BHP,6.0196,6.0395,5.986,6.0003,8804987,52943100,708,0.3567,ASX,TME
17-Apr-1997,BHP,6.0121,6.0788,5.9753,6.0288,14391762,86688800,826,0.3567,ASX,TME
18-Apr-1997,BHP,6.0345,6.1251,6.0295,6.1216,11682779,71215100,733,0.3567,ASX,TME
21-Apr-1997,BHP,6.1383,6.1387,6.0859,6.1073,3636477,22238500,463,0.3567,ASX,TME
22-Apr-1997,BHP,6.0691,6.1073,6.0609,6.0966,5654416,34389300,553,0.3567,ASX,TME
23-Apr-1997,BHP,6.1565,6.2072,6.1465,6.2001,8350673,51627500,705,0.3567,ASX,TME
24-Apr-1997,BHP,6.1944,6.2429,6.1751,6.2286,16074522,100029000,707,0.3567,ASX,TME
25-Apr-1997,BHP,,6.2286,6.2286,6.2286,0,0,0,0.3567,ASX,TME
28-Apr-1997,BHP,6.1929,6.2357,6.1715,6.2001,25457921,156112000,830,0.3567,ASX,TME
29-Apr-1997,BHP,6.2311,6.3731,6.2072,6.3731,21070943,133292000,958,0.3567,ASX,TME
30-Apr-1997,BHP,6.5582,6.5639,6.4459,6.4498,30850883,200612000,1923,0.3567,ASX,TME
01-May-1997,BHP,6.4391,6.4569,6.3856,6.4498,12075815,77716300,922,0.3567,ASX,TME
02-May-1997,BHP,6.4102,6.4747,6.4102,6.4355,9568606,61720300,969,0.3567,ASX,TME
05-May-1997,BHP,6.4762,6.4997,6.4212,6.4319,19212030,123863000,730,0.3567,ASX,TME
06-May-1997,BHP,6.4712,6.4922,6.3856,6.4284,13700381,87977600,942,0.3567,ASX,TME
07-May-1997,BHP,6.4088,6.4747,6.3963,6.4498,27270077,175998000,814,0.3567,ASX,TME
08-May-1997,BHP,6.3238,6.3713,6.3142,6.3606,24156872,149556000,938,0.3567,ASX,TME
09-May-1997,BHP,6.3688,6.4426,6.3677,6.4212,48382367,319680000,817,0.3567,ASX,TME
12-May-1997,BHP,6.4412,6.4819,6.4284,6.4498,7647574,49344500,875,0.3567,ASX,TME
13-May-1997,BHP,6.4747,6.4997,6.464,6.4962,12629167,81793600,932,0.3567,ASX,TME
14-May-1997,BHP,6.4526,6.4676,6.4284,6.4569,5528945,35631500,548,0.3567,ASX,TME
15-May-1997,BHP,6.464,6.4926,6.4426,6.4676,9861653,63775900,678,0.3567,ASX,TME
16-May-1997,BHP,6.4883,6.6745,6.4865,6.667,22486587,148338000,1480,0.3567,ASX,TME
19-May-1997,BHP,6.6117,6.8493,6.6042,6.7887,18887728,127762000,1361,0.3567,ASX,TME
20-May-1997,BHP,6.799,6.8779,6.7623,6.8707,16282267,111435000,1430,0.3567,ASX,TME
21-May-1997,BHP,6.9189,6.9242,6.7851,6.8315,16101601,110393000,1354,0.3567,ASX,TME
22-May-1997,BHP,6.7805,6.8707,6.7805,6.8493,7773971,53192900,867,0.3567,ASX,TME
23-May-1997,BHP,6.8775,6.9064,6.8136,6.8921,7507358,51574900,856,0.3567,ASX,TME
26-May-1997,BHP,6.8953,6.9278,6.6888,6.7494,15556799,105549000,1095,0.3567,ASX,TME
27-May-1997,BHP,6.6178,6.6995,6.5425,6.5604,18454858,121995000,1405,0.3567,ASX,TME
28-May-1997,BHP,6.5586,6.5818,6.4962,6.5604,19511776,127859000,1059,0.3567,ASX,TME
29-May-1997,BHP,6.5639,6.6353,6.5461,6.6353,20492587,135408000,1032,0.3567,ASX,TME
30-May-1997,BHP,6.636,6.7744,6.626,6.7273,31412644,207235000,1093,0.3567,ASX,TME
02-Jun-1997,BHP,6.7419,6.8493,6.7209,6.8315,8343412,56628100,723,0.3567,ASX,TME
03-Jun-1997,BHP,6.8119,6.8279,6.6995,6.7316,13293469,90019800,938,0.3567,ASX,TME
04-Jun-1997,BHP,6.7334,6.7851,6.728,6.7673,9011695,61028600,715,0.3567,ASX,TME
05-Jun-1997,BHP,6.7409,6.7958,6.6888,6.7173,9801804,66091600,704,0.3567,ASX,TME
06-Jun-1997,BHP,6.7273,6.7273,6.646,6.6781,11140220,74341700,777,0.3567,ASX,TME
09-Jun-1997,BHP,6.6781,6.6781,6.6781,6.6781,0,0,0,0.3567,ASX,TME
10-Jun-1997,BHP,6.7355,6.753,6.6888,6.7494,9425783,63345700,911,0.3567,ASX,TME
11-Jun-1997,BHP,6.7566,6.778,6.6531,6.6567,10055354,67564800,935,0.3567,ASX,TME
12-Jun-1997,BHP,6.6692,6.7245,6.6692,6.671,7238840,48468600,677,0.3567,ASX,TME
13-Jun-1997,BHP,6.7116,6.7494,6.7031,6.7387,8702838,58607700,677,0.3567,ASX,TME
16-Jun-1997,BHP,6.7273,6.7601,6.7259,6.7423,10824075,73008100,831,0.3567,ASX,TME
17-Jun-1997,BHP,6.7148,6.9207,6.7148,6.885,15666601,107076000,1476,0.3567,ASX,TME
18-Jun-1997,BHP,6.8318,6.9242,6.8318,6.8743,13562155,93518200,1225,0.3567,ASX,TME
19-Jun-1997,BHP,6.8343,7.0455,6.8172,7.0348,16257991,113162000,1441,0.3567,ASX,TME
20-Jun-1997,BHP,7.1008,7.1525,7.0634,7.0812,18755838,133076000,1687,0.3567,ASX,TME
23-Jun-1997,BHP,7.0284,7.0634,6.9492,6.9563,8057094,56394400,918,0.3567,ASX,TME
24-Jun-1997,BHP,6.8372,6.9385,6.8372,6.9207,13093208,90480500,1103,0.3567,ASX,TME
25-Jun-1997,BHP,6.9282,6.9742,6.8672,6.8672,10399671,71891000,997,0.3567,ASX,TME
26-Jun-1997,BHP,6.8547,6.8547,6.7673,6.7994,25397849,173171000,1008,0.3567,ASX,TME
27-Jun-1997,BHP,6.7944,6.8672,6.7334,6.8315,81029540,522353000,1344,0.3567,ASX,TME
30-Jun-1997,BHP,6.86,6.9563,6.8575,6.9503,10381982,71787300,1022,0.3567,ASX,TME
01-Jul-1997,BHP,6.86,6.9706,6.86,6.9635,11988355,83065900,1279,0.3567,ASX,TME
02-Jul-1997,BHP,6.9742,7.0812,6.971,7.0741,10101775,71144600,1264,0.3567,ASX,TME
03-Jul-1997,BHP,7.1047,7.1418,7.0206,7.0206,21385322,151394000,1714,0.3567,ASX,TME
04-Jul-1997,BHP,7.0134,7.0348,6.9813,6.992,17619112,123444000,992,0.3567,ASX,TME
07-Jul-1997,BHP,6.9517,6.9635,6.8565,6.8672,15800145,108827000,854,0.3567,ASX,TME
08-Jul-1997,BHP,6.8315,6.8336,6.7245,6.7262,10803808,73131700,948,0.3567,ASX,TME
09-Jul-1997,BHP,6.7833,6.7887,6.7423,6.7637,8765742,59306500,722,0.3567,ASX,TME
10-Jul-1997,BHP,6.6963,6.778,6.671,6.6959,5957190,39935300,636,0.3567,ASX,TME
11-Jul-1997,BHP,6.7095,6.7316,6.6817,6.6888,7539679,50470700,596,0.3567,ASX,TME
14-Jul-1997,BHP,6.6984,6.6984,6.5818,6.5996,7181374,47610100,581,0.3567,ASX,TME
15-Jul-1997,BHP,6.5825,6.5907,6.4962,6.5176,8573779,56001700,810,0.3567,ASX,TME
16-Jul-1997,BHP,6.5486,6.5853,6.4426,6.489,7069218,46193800,756,0.3567,ASX,TME
17-Jul-1997,BHP,6.5407,6.6388,6.5176,6.5853,10369116,68238500,772,0.3567,ASX,TME
18-Jul-1997,BHP,6.5978,6.671,6.5853,6.621,7242344,47958100,716,0.3567,ASX,TME
21-Jul-1997,BHP,6.5679,6.5746,6.4498,6.4569,6476959,42116000,728,0.3567,ASX,TME
22-Jul-1997,BHP,6.4683,6.4712,6.3606,6.3998,6555336,42268200,745,0.3567,ASX,TME
23-Jul-1997,BHP,6.5129,6.5461,6.4034,6.4141,17666543,115090000,1138,0.3567,ASX,TME
24-Jul-1997,BHP,6.433,6.4391,6.3535,6.3784,11625313,75103700,874,0.3567,ASX,TME
25-Jul-1997,BHP,6.3766,6.4569,6.3642,6.4212,23507119,153803000,751,0.3567,ASX,TME
