Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,BRK.B,,,,,,,,,USXE,NYS
18-Mar-1997,BRK.B,,,,,,,,,USXE,NYS
19-Mar-1997,BRK.B,,,,,,,,,USXE,NYS
20-Mar-1997,BRK.B,,,,,,,,,USXE,NYS
21-Mar-1997,BRK.B,,,,,,,,,USXE,NYS
24-Mar-1997,BRK.B,,,,,,,,,USXE,NYS
25-Mar-1997,BRK.B,,,,,,,,,USXE,NYS
26-Mar-1997,BRK.B,,,,,,,,,USXE,NYS
27-Mar-1997,BRK.B,,,,,,,,,USXE,NYS
28-Mar-1997,BRK.B,,,,,,,,,USXE,NYS
31-Mar-1997,BRK.B,,,,,,,,,USXE,NYS
01-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
02-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
03-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
04-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
07-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
08-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
09-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
10-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
11-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
14-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
15-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
16-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
17-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
18-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
21-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
22-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
23-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
24-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
25-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
28-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
29-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
30-Apr-1997,BRK.B,,,,,,,,,USXE,NYS
01-May-1997,BRK.B,,,,,,,,,USXE,NYS
02-May-1997,BRK.B,,,,,,,,,USXE,NYS
05-May-1997,BRK.B,,,,,,,,,USXE,NYS
06-May-1997,BRK.B,,,,,,,,,USXE,NYS
07-May-1997,BRK.B,,,,,,,,,USXE,NYS
08-May-1997,BRK.B,,,,,,,,,USXE,NYS
09-May-1997,BRK.B,,,,,,,,,USXE,NYS
12-May-1997,BRK.B,,,,,,,,,USXE,NYS
13-May-1997,BRK.B,,,,,,,,,USXE,NYS
14-May-1997,BRK.B,,,,,,,,,USXE,NYS
15-May-1997,BRK.B,,,,,,,,,USXE,NYS
16-May-1997,BRK.B,,,,,,,,,USXE,NYS
19-May-1997,BRK.B,,,,,,,,,USXE,NYS
20-May-1997,BRK.B,,,,,,,,,USXE,NYS
21-May-1997,BRK.B,,,,,,,,,USXE,NYS
22-May-1997,BRK.B,,,,,,,,,USXE,NYS
23-May-1997,BRK.B,,,,,,,,,USXE,NYS
26-May-1997,BRK.B,,,,,,,,,USXE,NYS
27-May-1997,BRK.B,,,,,,,,,USXE,NYS
28-May-1997,BRK.B,,,,,,,,,USXE,NYS
29-May-1997,BRK.B,,,,,,,,,USXE,NYS
30-May-1997,BRK.B,,,,,,,,,USXE,NYS
02-Jun-1997,BRK.B,,,,,,,,,USXE,NYS
03-Jun-1997,BRK.B,,,,,,,,,USXE,NYS
04-Jun-1997,BRK.B,,,,,,,,,USXE,NYS
