Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,CBA,12.605,12.625,12.446,12.466,1119283,14180600,455,0.9957,ASX,TME
18-Mar-1997,CBA,12.479,12.516,12.387,12.387,1747685,21850100,534,0.9957,ASX,TME
19-Mar-1997,CBA,12.34,12.355,12.207,12.287,1013679,12463000,554,0.9957,ASX,TME
20-Mar-1997,CBA,12.289,12.456,12.257,12.426,1556372,19282100,498,0.9957,ASX,TME
21-Mar-1997,CBA,12.398,12.546,12.327,12.406,1434127,17818900,492,0.9957,ASX,TME
24-Mar-1997,CBA,12.404,12.765,12.396,12.725,753780,9530130,383,0.9957,ASX,TME
25-Mar-1997,CBA,12.85,12.934,12.625,12.645,666212,8521750,434,0.9957,ASX,TME
26-Mar-1997,CBA,12.65,12.675,12.576,12.636,617871,7826840,317,0.9957,ASX,TME
27-Mar-1997,CBA,12.67,12.805,12.645,12.695,1903073,24277100,572,0.9957,ASX,TME
28-Mar-1997,CBA,,12.695,12.695,12.695,0,0,0,0.9957,ASX,TME
31-Mar-1997,CBA,,12.695,12.695,12.695,0,0,0,0.9957,ASX,TME
01-Apr-1997,CBA,12.397,12.446,12.247,12.436,1315507,16279300,601,0.9957,ASX,TME
02-Apr-1997,CBA,12.461,12.556,12.337,12.337,1717033,21343000,598,0.9957,ASX,TME
03-Apr-1997,CBA,12.296,12.446,12.277,12.446,1134438,14077700,565,0.9957,ASX,TME
04-Apr-1997,CBA,12.425,12.556,12.416,12.446,1081551,13488500,410,0.9957,ASX,TME
07-Apr-1997,CBA,12.525,12.576,12.396,12.476,716338,9074400,439,0.9957,ASX,TME
08-Apr-1997,CBA,12.496,12.735,12.466,12.645,1328282,16739600,453,0.9957,ASX,TME
09-Apr-1997,CBA,12.764,12.944,12.725,12.924,2533343,32589900,512,0.9957,ASX,TME
10-Apr-1997,CBA,12.944,13.004,12.904,12.984,1332329,17319100,403,0.9957,ASX,TME
11-Apr-1997,CBA,12.948,12.994,12.825,12.944,1794125,23237800,395,0.9957,ASX,TME
14-Apr-1997,CBA,12.785,13.011,12.755,13.011,1560490,20187300,386,0.9957,ASX,TME
15-Apr-1997,CBA,13.062,13.263,13.024,13.193,1362298,17945800,472,0.9957,ASX,TME
16-Apr-1997,CBA,13.35,13.35,13.223,13.233,1775053,23494200,413,0.9957,ASX,TME
17-Apr-1997,CBA,13.264,13.271,13.183,13.203,732850,9684080,328,0.9957,ASX,TME
18-Apr-1997,CBA,13.212,13.442,13.183,13.442,2835081,37819100,478,0.9957,ASX,TME
21-Apr-1997,CBA,13.437,13.571,13.437,13.492,972217,13119500,438,0.9957,ASX,TME
22-Apr-1997,CBA,13.442,13.522,13.362,13.502,922976,12414700,394,0.9957,ASX,TME
23-Apr-1997,CBA,13.586,13.671,13.586,13.631,2131837,29091000,536,0.9957,ASX,TME
24-Apr-1997,CBA,13.612,13.661,13.591,13.661,1659908,22640000,421,0.9957,ASX,TME
25-Apr-1997,CBA,,13.661,13.661,13.661,0,0,0,0.9957,ASX,TME
28-Apr-1997,CBA,13.625,13.681,13.591,13.671,3952938,51836800,431,0.9957,ASX,TME
29-Apr-1997,CBA,13.717,13.84,13.717,13.83,1394105,19224100,452,0.9957,ASX,TME
30-Apr-1997,CBA,13.954,14,13.87,13.87,2455318,34243700,583,0.9957,ASX,TME
01-May-1997,CBA,13.921,13.94,13.84,13.94,1261384,17530400,493,0.9957,ASX,TME
02-May-1997,CBA,13.867,13.96,13.867,13.92,756583,10538100,385,0.9957,ASX,TME
05-May-1997,CBA,13.921,13.99,13.92,13.93,1317435,18373100,433,0.9957,ASX,TME
06-May-1997,CBA,13.954,14.079,13.94,14.053,1914000,26816300,587,0.9957,ASX,TME
07-May-1997,CBA,14.012,14.139,14.009,14.139,925829,13013100,490,0.9957,ASX,TME
08-May-1997,CBA,14.021,14.079,14.009,14.059,2456182,34466100,428,0.9957,ASX,TME
09-May-1997,CBA,14.065,14.358,14.065,14.338,1510063,21470400,514,0.9957,ASX,TME
12-May-1997,CBA,14.357,14.368,14.189,14.298,1575505,22340100,432,0.9957,ASX,TME
13-May-1997,CBA,14.387,14.557,14.341,14.487,3472773,49966500,521,0.9957,ASX,TME
14-May-1997,CBA,14.428,14.756,14.378,14.716,1467872,21355100,573,0.9957,ASX,TME
15-May-1997,CBA,14.704,14.704,14.527,14.587,1398524,20408300,436,0.9957,ASX,TME
16-May-1997,CBA,14.537,14.546,14.059,14.059,2060108,29284700,522,0.9957,ASX,TME
19-May-1997,CBA,13.868,13.927,13.591,13.7,1922205,26316000,603,0.9957,ASX,TME
20-May-1997,CBA,13.692,13.721,13.641,13.691,1223772,16750600,463,0.9957,ASX,TME
21-May-1997,CBA,13.745,13.86,13.741,13.771,1192648,16456700,464,0.9957,ASX,TME
22-May-1997,CBA,13.808,14.059,13.771,14.029,2397148,33432500,448,0.9957,ASX,TME
23-May-1997,CBA,14.291,14.338,14.049,14.069,2902782,41017200,562,0.9957,ASX,TME
26-May-1997,CBA,14.167,14.189,14.019,14.069,1587878,22357700,484,0.9957,ASX,TME
27-May-1997,CBA,14.046,14.189,13.99,14.189,1718951,24331100,433,0.9957,ASX,TME
28-May-1997,CBA,14.174,14.458,14.156,14.438,1259004,18059100,422,0.9957,ASX,TME
29-May-1997,CBA,14.389,14.396,14.219,14.318,1606628,22961000,378,0.9957,ASX,TME
30-May-1997,CBA,14.296,14.358,14.054,14.054,4070332,56973400,439,0.9957,ASX,TME
02-Jun-1997,CBA,14.042,14.05,13.82,13.9,1581340,21990700,532,0.9957,ASX,TME
03-Jun-1997,CBA,13.843,13.92,13.79,13.9,2329246,32251900,559,0.9957,ASX,TME
04-Jun-1997,CBA,13.975,14.388,13.94,14.209,1142463,16223600,486,0.9957,ASX,TME
05-Jun-1997,CBA,14.205,14.368,14.203,14.239,918499,13142000,369,0.9957,ASX,TME
06-Jun-1997,CBA,14.244,14.268,14.099,14.149,1004861,14244900,379,0.9957,ASX,TME
09-Jun-1997,CBA,14.149,14.149,14.149,14.149,0,0,0,0.9957,ASX,TME
10-Jun-1997,CBA,14.258,14.497,14.257,14.438,1596716,22974500,535,0.9957,ASX,TME
11-Jun-1997,CBA,14.471,14.496,14.199,14.239,1059536,15137800,443,0.9957,ASX,TME
12-Jun-1997,CBA,14.247,14.587,14.239,14.388,1491634,21455600,471,0.9957,ASX,TME
13-Jun-1997,CBA,14.441,14.477,14.268,14.476,1809059,25970900,470,0.9957,ASX,TME
16-Jun-1997,CBA,14.556,14.936,14.447,14.936,3192056,47037600,623,0.9957,ASX,TME
17-Jun-1997,CBA,14.888,15.394,14.886,15.125,2475836,37532400,843,0.9957,ASX,TME
18-Jun-1997,CBA,15.067,15.145,14.896,14.985,1347615,20143200,494,0.9957,ASX,TME
19-Jun-1997,CBA,14.944,15.184,14.886,15.135,703096,10597000,434,0.9957,ASX,TME
20-Jun-1997,CBA,15.224,15.334,15.155,15.314,1038044,15832800,505,0.9957,ASX,TME
23-Jun-1997,CBA,15.311,15.533,15.264,15.413,1350517,20771400,533,0.9957,ASX,TME
24-Jun-1997,CBA,15.159,15.433,15.159,15.344,1037421,15917400,530,0.9957,ASX,TME
25-Jun-1997,CBA,15.464,15.563,15.344,15.443,1434830,22142200,475,0.9957,ASX,TME
26-Jun-1997,CBA,15.436,15.563,15.384,15.563,1807040,27916600,443,0.9957,ASX,TME
27-Jun-1997,CBA,15.533,15.742,15.523,15.672,2050768,30315400,613,0.9957,ASX,TME
30-Jun-1997,CBA,15.704,15.981,15.689,15.931,1118590,17525600,531,0.9957,ASX,TME
01-Jul-1997,CBA,15.767,15.832,15.632,15.772,1646902,25924300,775,0.9957,ASX,TME
02-Jul-1997,CBA,15.832,16.081,15.792,15.941,1033173,16491800,603,0.9957,ASX,TME
03-Jul-1997,CBA,15.997,16.031,15.901,15.951,940881,15007000,559,0.9957,ASX,TME
04-Jul-1997,CBA,15.932,16.031,15.911,15.991,1752104,27998700,545,0.9957,ASX,TME
07-Jul-1997,CBA,15.939,15.991,15.891,15.903,908140,14460500,427,0.9957,ASX,TME
08-Jul-1997,CBA,15.849,15.849,15.583,15.675,1072271,11867600,545,0.9957,ASX,TME
09-Jul-1997,CBA,15.684,15.981,15.684,15.961,714259,11326700,485,0.9957,ASX,TME
10-Jul-1997,CBA,15.79,16.23,15.774,16.19,1122868,17950500,529,0.9957,ASX,TME
11-Jul-1997,CBA,16.248,16.329,16.237,16.29,880326,14337400,560,0.9957,ASX,TME
14-Jul-1997,CBA,16.322,16.379,16.2,16.2,626851,10210000,524,0.9957,ASX,TME
15-Jul-1997,CBA,16.162,16.189,16.031,16.091,1011449,16276000,502,0.9957,ASX,TME
16-Jul-1997,CBA,16.126,16.26,16.094,16.26,706843,11431300,377,0.9957,ASX,TME
17-Jul-1997,CBA,16.282,16.489,16.282,16.404,1197308,19648600,500,0.9957,ASX,TME
18-Jul-1997,CBA,16.407,16.429,16.13,16.176,892297,14466400,383,0.9957,ASX,TME
21-Jul-1997,CBA,16.074,16.16,16.001,16.15,817332,13144800,475,0.9957,ASX,TME
22-Jul-1997,CBA,16.139,16.399,16.081,16.349,628065,10228100,416,0.9957,ASX,TME
23-Jul-1997,CBA,16.413,16.927,16.397,16.847,2134709,35827300,703,0.9957,ASX,TME
