Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,DJI,6955.48,7004.2,6820.28,6955.48,61585900,0,0,1,DJII,DJIIE
18-Mar-1997,DJI,6896.57,6997.4,6841.05,6896.57,52283900,0,0,1,DJII,DJIIE
19-Mar-1997,DJI,6877.68,6944.15,6794.22,6877.68,62416300,0,0,1,DJII,DJIIE
20-Mar-1997,DJI,6820.28,6879.57,6798.37,6820.28,57339900,0,0,1,DJII,DJIIE
21-Mar-1997,DJI,6804.79,6890.52,6742.85,6804.79,86107520,0,0,1,DJII,DJIIE
24-Mar-1997,DJI,6905.25,6933.58,6746.63,6905.25,57848400,0,0,1,DJII,DJIIE
25-Mar-1997,DJI,6876.17,6984.94,6832.74,6876.17,61460000,0,0,1,DJII,DJIIE
26-Mar-1997,DJI,6880.7,6954.73,6811.21,6880.7,57547100,0,0,1,DJII,DJIIE
27-Mar-1997,DJI,6740.59,6918.47,6654.86,6740.59,58835700,0,0,1,DJII,DJIIE
28-Mar-1997,DJI,6740.59,6740.59,6740.59,6740.59,58835700,0,0,1,DJII,DJIIE
31-Mar-1997,DJI,6583.48,6743.23,6532.49,6583.48,79611408,0,0,1,DJII,DJIIE
01-Apr-1997,DJI,6611.05,6667.7,6482.64,6611.05,65733900,0,0,1,DJII,DJIIE
02-Apr-1997,DJI,6517.01,6636.73,6476.6,6517.01,55855200,0,0,1,DJII,DJIIE
03-Apr-1997,DJI,6477.36,6540.43,6379.16,6477.36,61285000,0,0,1,DJII,DJIIE
04-Apr-1997,DJI,6526.07,6527.21,6404.84,6526.07,63467600,0,0,1,DJII,DJIIE
07-Apr-1997,DJI,6555.91,6639,6508.7,6555.91,47223400,0,0,1,DJII,DJIIE
08-Apr-1997,DJI,6609.16,6638.62,6491.71,6609.16,47530200,0,0,1,DJII,DJIIE
09-Apr-1997,DJI,6563.84,6662.41,6521.16,6563.84,52809300,0,0,1,DJII,DJIIE
10-Apr-1997,DJI,6540.05,6626.91,6495.48,6540.05,48598100,0,0,1,DJII,DJIIE
11-Apr-1997,DJI,6391.69,6529.48,6358.42,6391.69,60792100,0,0,1,DJII,DJIIE
14-Apr-1997,DJI,6451.9,6487.22,6315.84,6451.9,55759900,0,0,1,DJII,DJIIE
15-Apr-1997,DJI,6587.16,6626.09,6457.92,6587.16,64017300,0,0,1,DJII,DJIIE
16-Apr-1997,DJI,6679.87,6708.77,6506.08,6679.87,74842904,0,0,1,DJII,DJIIE
17-Apr-1997,DJI,6658.6,6750.91,6600.8,6658.6,59866700,0,0,1,DJII,DJIIE
18-Apr-1997,DJI,6703.55,6749.71,6616.46,6703.55,64502400,0,0,1,DJII,DJIIE
21-Apr-1997,DJI,6660.21,6768.17,6594.38,6660.21,53892600,0,0,1,DJII,DJIIE
22-Apr-1997,DJI,6833.59,6858.08,6628.5,6833.59,72051504,0,0,1,DJII,DJIIE
23-Apr-1997,DJI,6812.72,6902.23,6746.5,6812.72,62719800,0,0,1,DJII,DJIIE
24-Apr-1997,DJI,6792.25,6923.9,6742.89,6792.25,62848400,0,0,1,DJII,DJIIE
25-Apr-1997,DJI,6738.87,6826.77,6681.08,6738.87,52302200,0,0,1,DJII,DJIIE
28-Apr-1997,DJI,6783.02,6826.37,6667.03,6783.02,52478100,0,0,1,DJII,DJIIE
29-Apr-1997,DJI,6962.03,6998.15,6820.75,6962.03,73179808,0,0,1,DJII,DJIIE
30-Apr-1997,DJI,7008.99,7081.24,6912.26,7008.99,75070504,0,0,1,DJII,DJIIE
01-May-1997,DJI,6976.48,7041.9,6891.39,6976.48,49705500,0,0,1,DJII,DJIIE
02-May-1997,DJI,7071.2,7104.51,6935.54,7071.2,56034100,0,0,1,DJII,DJIIE
05-May-1997,DJI,7214.49,7232.15,7029.46,7214.49,70650000,0,0,1,DJII,DJIIE
06-May-1997,DJI,7225.32,7299.98,7139.43,7225.32,81215008,0,0,1,DJII,DJIIE
07-May-1997,DJI,7085.65,7246.6,7064.78,7085.65,56250400,0,0,1,DJII,DJIIE
08-May-1997,DJI,7136.62,7236.96,7040.3,7136.62,66317100,0,0,1,DJII,DJIIE
09-May-1997,DJI,7169.54,7235.76,7079.63,7169.54,56044800,0,0,1,DJII,DJIIE
12-May-1997,DJI,7292.75,7317.48,7156.35,7292.75,64315600,0,0,1,DJII,DJIIE
13-May-1997,DJI,7274.21,7350.85,7211.16,7274.21,70273304,0,0,1,DJII,DJIIE
14-May-1997,DJI,7286.16,7381.76,7238.35,7286.16,57774500,0,0,1,DJII,DJIIE
15-May-1997,DJI,7333.55,7363.63,7225.99,7333.55,55773500,0,0,1,DJII,DJIIE
16-May-1997,DJI,7194.67,7332.31,7170.77,7194.67,89045808,0,0,1,DJII,DJIIE
19-May-1997,DJI,7228.88,7274.21,7140.69,7228.88,47472600,0,0,1,DJII,DJIIE
20-May-1997,DJI,7303.46,7336.02,7123.38,7303.46,61900300,0,0,1,DJII,DJIIE
21-May-1997,DJI,7290.69,7385.47,7218.99,7290.69,73012904,0,0,1,DJII,DJIIE
22-May-1997,DJI,7258.13,7348.79,7210.33,7258.13,53190900,0,0,1,DJII,DJIIE
23-May-1997,DJI,7345.91,7382.59,7260.61,7345.91,49892200,0,0,1,DJII,DJIIE
26-May-1997,DJI,7345.91,7345.91,7345.91,7345.91,49892200,0,0,1,DJII,DJIIE
27-May-1997,DJI,7383.41,7421.32,7276.68,7383.41,62344000,0,0,1,DJII,DJIIE
28-May-1997,DJI,7357.23,7430.2,7287.26,7357.23,62312100,0,0,1,DJII,DJIIE
29-May-1997,DJI,7330.18,7404.44,7272.24,7330.18,49008700,0,0,1,DJII,DJIIE
30-May-1997,DJI,7331.04,7385.98,7203.99,7331.04,66420000,0,0,1,DJII,DJIIE
02-Jun-1997,DJI,7289.4,7383.84,7244.76,7289.4,54076000,0,0,1,DJII,DJIIE
03-Jun-1997,DJI,7312.15,7379.98,7225.02,7312.15,56361100,0,0,1,DJII,DJIIE
04-Jun-1997,DJI,7269.66,7350.36,7214.29,7269.66,51620300,0,0,1,DJII,DJIIE
05-Jun-1997,DJI,7305.29,7376.97,7241.33,7305.29,53910400,0,0,1,DJII,DJIIE
06-Jun-1997,DJI,7435.78,7473.98,7290.26,7435.78,54747500,0,0,1,DJII,DJIIE
09-Jun-1997,DJI,7478.5,7548.52,7412.44,7478.5,56547100,0,0,1,DJII,DJIIE
10-Jun-1997,DJI,7539.27,7599.61,7459.12,7539.27,64444300,0,0,1,DJII,DJIIE
11-Jun-1997,DJI,7575.83,7633.96,7476.3,7575.83,68172904,0,0,1,DJII,DJIIE
12-Jun-1997,DJI,7711.47,7712.35,7575.83,7711.47,75694312,0,0,1,DJII,DJIIE
13-Jun-1997,DJI,7782.04,7845.82,7683.42,7782.04,87206712,0,0,1,DJII,DJIIE
16-Jun-1997,DJI,7772.09,7829.99,7712.37,7772.09,57713300,0,0,1,DJII,DJIIE
17-Jun-1997,DJI,7760.78,7834.97,7680.71,7760.78,66157700,0,0,1,DJII,DJIIE
18-Jun-1997,DJI,7718.71,7760.78,7703.33,7718.71,55517900,0,0,1,DJII,DJIIE
19-Jun-1997,DJI,7718.71,7834.512,7697.449,7777.059,64817800,0,0,1,DJII,DJIIE
20-Jun-1997,DJI,7777.06,7834.06,7777.06,7796.51,102155624,0,0,1,DJII,DJIIE
23-Jun-1997,DJI,7796.51,7797.42,7602.9,7604.26,63347000,0,0,1,DJII,DJIIE
24-Jun-1997,DJI,7604.26,7787.012,7602.898,7758.059,70664304,0,0,1,DJII,DJIIE
25-Jun-1997,DJI,7758.06,7832.48,7615.57,7689.98,73017208,0,0,1,DJII,DJIIE
26-Jun-1997,DJI,7689.98,7754.219,7581.641,7654.25,56598700,0,0,1,DJII,DJIIE
27-Jun-1997,DJI,7654.25,7793.121,7627.328,7687.719,49455500,0,0,1,DJII,DJIIE
30-Jun-1997,DJI,7687.72,7727.3,7612.18,7672.79,63915100,0,0,1,DJII,DJIIE
01-Jul-1997,DJI,7672.79,7722.33,7667.59,7722.33,63761400,0,0,1,DJII,DJIIE
02-Jul-1997,DJI,7722.33,7814.379,7648.141,7795.379,62536800,0,0,1,DJII,DJIIE
03-Jul-1997,DJI,7895.809,7952.352,7805.789,7895.809,50726800,0,0,1,DJII,DJIIE
04-Jul-1997,DJI,7895.809,7895.809,7895.809,7895.809,0,0,0,1,DJII,DJIIE
07-Jul-1997,DJI,7895.81,7982.66,7815.059,7858.49,65511000,0,0,1,DJII,DJIIE
08-Jul-1997,DJI,7858.49,7962.31,7857.13,7962.31,58608800,0,0,1,DJII,DJIIE
09-Jul-1997,DJI,7962.31,7991.03,7795.16,7842.43,82239216,0,0,1,DJII,DJIIE
10-Jul-1997,DJI,7842.43,7887.89,7809.63,7886.76,71340608,0,0,1,DJII,DJIIE
11-Jul-1997,DJI,7886.76,7955.29,7886.76,7921.82,57942000,0,0,1,DJII,DJIIE
14-Jul-1997,DJI,7922.98,7950.39,7860.04,7922.98,62492100,0,0,1,DJII,DJIIE
15-Jul-1997,DJI,7922.98,7982.91,7879.31,7975.71,72933200,0,0,1,DJII,DJIIE
16-Jul-1997,DJI,7975.71,8069.54,7953.87,8038.88,92054216,0,0,1,DJII,DJIIE
17-Jul-1997,DJI,8038.88,8067.92,7990.8,8020.77,97073432,0,0,1,DJII,DJIIE
18-Jul-1997,DJI,8020.77,8036.1,7875.37,7890.46,92002016,0,0,1,DJII,DJIIE
21-Jul-1997,DJI,7890.46,7919.96,7840.06,7906.72,71477408,0,0,1,DJII,DJIIE
22-Jul-1997,DJI,7906.72,8068.61,7906.02,8061.65,85757216,0,0,1,DJII,DJIIE
23-Jul-1997,DJI,8061.65,8147.82,8058.63,8088.36,88680320,0,0,1,DJII,DJIIE
24-Jul-1997,DJI,8088.36,8132.95,7994.06,8116.93,71139200,0,0,1,DJII,DJIIE
25-Jul-1997,DJI,8116.93,8156.64,8080.46,8113.44,65433200,0,0,1,DJII,DJIIE
28-Jul-1997,DJI,8113.44,8178.01,8108.56,8121.11,62614800,0,0,1,DJII,DJIIE
29-Jul-1997,DJI,8174.531,8176.39,8092.07,8174.531,66721800,0,0,1,DJII,DJIIE
30-Jul-1997,DJI,8174.53,8273.94,8173.14,8254.9,62857500,0,0,1,DJII,DJIIE
31-Jul-1997,DJI,8254.9,8282.54,8207.28,8222.61,63435500,0,0,1,DJII,DJIIE
01-Aug-1997,DJI,8222.61,8247.69,8103.69,8194.04,67551304,0,0,1,DJII,DJIIE
04-Aug-1997,DJI,8194.04,8215.64,8134.35,8198.45,56933600,0,0,1,DJII,DJIIE
05-Aug-1997,DJI,8198.45,8209.14,8162.68,8187.54,53903124,0,0,1,DJII,DJIIE
06-Aug-1997,DJI,8187.54,8274.87,8156.41,8259.31,63333000,0,0,1,DJII,DJIIE
07-Aug-1997,DJI,8259.31,8299.26,8181.03,8188,69433200,0,0,1,DJII,DJIIE
08-Aug-1997,DJI,8188,8188,7977.33,8031.22,80723320,0,0,1,DJII,DJIIE
11-Aug-1997,DJI,8031.22,8076.51,7965.02,8062.11,80286504,0,0,1,DJII,DJIIE
12-Aug-1997,DJI,8062.11,8095.33,7949.23,7960.84,69164104,0,0,1,DJII,DJIIE
13-Aug-1997,DJI,7960.84,8040.04,7879.55,7928.32,82665200,0,0,1,DJII,DJIIE
14-Aug-1997,DJI,7928.32,7997.31,7865.15,7942.03,68460600,0,0,1,DJII,DJIIE
15-Aug-1997,DJI,7694.66,7942.03,7694.66,7694.66,77157200,0,0,1,DJII,DJIIE
18-Aug-1997,DJI,7694.66,7803.36,7618.94,7803.36,86704216,0,0,1,DJII,DJIIE
19-Aug-1997,DJI,7803.36,7918.57,7803.36,7918.1,72783504,0,0,1,DJII,DJIIE
20-Aug-1997,DJI,7918.1,8021.23,7893.71,8021.23,62024900,0,0,1,DJII,DJIIE
21-Aug-1997,DJI,8021.23,8023.09,7847.49,7893.95,56891200,0,0,1,DJII,DJIIE
22-Aug-1997,DJI,7893.95,7893.95,7716.72,7887.91,65344700,0,0,1,DJII,DJIIE
25-Aug-1997,DJI,7887.91,7944.12,7833.56,7859.57,50466700,0,0,1,DJII,DJIIE
26-Aug-1997,DJI,7859.57,7860.73,7770.61,7782.22,54141000,0,0,1,DJII,DJIIE
27-Aug-1997,DJI,7782.22,7808.7,7697.91,7787.33,62265600,0,0,1,DJII,DJIIE
