Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,DOT1USD,,,,,,,,,CX,IRX
18-Mar-1997,DOT1USD,,,,,,,,,CX,IRX
19-Mar-1997,DOT1USD,,,,,,,,,CX,IRX
20-Mar-1997,DOT1USD,,,,,,,,,CX,IRX
21-Mar-1997,DOT1USD,,,,,,,,,CX,IRX
24-Mar-1997,DOT1USD,,,,,,,,,CX,IRX
25-Mar-1997,DOT1USD,,,,,,,,,CX,IRX
26-Mar-1997,DOT1USD,,,,,,,,,CX,IRX
27-Mar-1997,DOT1USD,,,,,,,,,CX,IRX
28-Mar-1997,DOT1USD,,,,,,,,,CX,IRX
31-Mar-1997,DOT1USD,,,,,,,,,CX,IRX
01-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
02-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
03-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
04-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
07-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
08-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
09-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
10-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
11-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
14-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
15-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
16-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
17-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
18-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
21-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
22-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
23-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
24-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
25-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
28-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
29-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
30-Apr-1997,DOT1USD,,,,,,,,,CX,IRX
01-May-1997,DOT1USD,,,,,,,,,CX,IRX
02-May-1997,DOT1USD,,,,,,,,,CX,IRX
05-May-1997,DOT1USD,,,,,,,,,CX,IRX
06-May-1997,DOT1USD,,,,,,,,,CX,IRX
07-May-1997,DOT1USD,,,,,,,,,CX,IRX
08-May-1997,DOT1USD,,,,,,,,,CX,IRX
09-May-1997,DOT1USD,,,,,,,,,CX,IRX
12-May-1997,DOT1USD,,,,,,,,,CX,IRX
13-May-1997,DOT1USD,,,,,,,,,CX,IRX
14-May-1997,DOT1USD,,,,,,,,,CX,IRX
15-May-1997,DOT1USD,,,,,,,,,CX,IRX
16-May-1997,DOT1USD,,,,,,,,,CX,IRX
19-May-1997,DOT1USD,,,,,,,,,CX,IRX
20-May-1997,DOT1USD,,,,,,,,,CX,IRX
21-May-1997,DOT1USD,,,,,,,,,CX,IRX
22-May-1997,DOT1USD,,,,,,,,,CX,IRX
23-May-1997,DOT1USD,,,,,,,,,CX,IRX
26-May-1997,DOT1USD,,,,,,,,,CX,IRX
27-May-1997,DOT1USD,,,,,,,,,CX,IRX
28-May-1997,DOT1USD,,,,,,,,,CX,IRX
29-May-1997,DOT1USD,,,,,,,,,CX,IRX
30-May-1997,DOT1USD,,,,,,,,,CX,IRX
02-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
03-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
04-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
05-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
06-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
09-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
10-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
11-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
12-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
13-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
16-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
17-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
18-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
19-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
20-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
23-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
24-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
25-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
26-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
27-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
30-Jun-1997,DOT1USD,,,,,,,,,CX,IRX
01-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
02-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
03-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
04-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
07-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
08-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
09-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
10-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
11-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
14-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
15-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
16-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
17-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
18-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
21-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
22-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
23-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
24-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
25-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
28-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
29-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
30-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
31-Jul-1997,DOT1USD,,,,,,,,,CX,IRX
01-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
04-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
05-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
06-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
07-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
08-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
11-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
12-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
13-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
14-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
15-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
18-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
19-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
20-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
21-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
22-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
25-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
26-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
27-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
28-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
29-Aug-1997,DOT1USD,,,,,,,,,CX,IRX
01-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
02-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
03-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
04-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
05-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
08-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
09-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
10-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
11-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
12-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
15-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
16-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
17-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
18-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
19-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
22-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
23-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
24-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
25-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
26-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
29-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
30-Sep-1997,DOT1USD,,,,,,,,,CX,IRX
01-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
02-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
03-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
06-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
07-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
08-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
09-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
10-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
13-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
14-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
15-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
16-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
17-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
20-Oct-1997,DOT1USD,,,,,,,,,CX,IRX
