Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,META,,,,,,,,,USXE,NAS
18-Mar-1997,META,,,,,,,,,USXE,NAS
19-Mar-1997,META,,,,,,,,,USXE,NAS
20-Mar-1997,META,,,,,,,,,USXE,NAS
21-Mar-1997,META,,,,,,,,,USXE,NAS
24-Mar-1997,META,,,,,,,,,USXE,NAS
25-Mar-1997,META,,,,,,,,,USXE,NAS
26-Mar-1997,META,,,,,,,,,USXE,NAS
27-Mar-1997,META,,,,,,,,,USXE,NAS
28-Mar-1997,META,,,,,,,,,USXE,NAS
31-Mar-1997,META,,,,,,,,,USXE,NAS
01-Apr-1997,META,,,,,,,,,USXE,NAS
02-Apr-1997,META,,,,,,,,,USXE,NAS
03-Apr-1997,META,,,,,,,,,USXE,NAS
04-Apr-1997,META,,,,,,,,,USXE,NAS
07-Apr-1997,META,,,,,,,,,USXE,NAS
08-Apr-1997,META,,,,,,,,,USXE,NAS
09-Apr-1997,META,,,,,,,,,USXE,NAS
10-Apr-1997,META,,,,,,,,,USXE,NAS
11-Apr-1997,META,,,,,,,,,USXE,NAS
14-Apr-1997,META,,,,,,,,,USXE,NAS
15-Apr-1997,META,,,,,,,,,USXE,NAS
16-Apr-1997,META,,,,,,,,,USXE,NAS
17-Apr-1997,META,,,,,,,,,USXE,NAS
18-Apr-1997,META,,,,,,,,,USXE,NAS
21-Apr-1997,META,,,,,,,,,USXE,NAS
22-Apr-1997,META,,,,,,,,,USXE,NAS
23-Apr-1997,META,,,,,,,,,USXE,NAS
24-Apr-1997,META,,,,,,,,,USXE,NAS
25-Apr-1997,META,,,,,,,,,USXE,NAS
28-Apr-1997,META,,,,,,,,,USXE,NAS
29-Apr-1997,META,,,,,,,,,USXE,NAS
30-Apr-1997,META,,,,,,,,,USXE,NAS
01-May-1997,META,,,,,,,,,USXE,NAS
02-May-1997,META,,,,,,,,,USXE,NAS
05-May-1997,META,,,,,,,,,USXE,NAS
06-May-1997,META,,,,,,,,,USXE,NAS
07-May-1997,META,,,,,,,,,USXE,NAS
08-May-1997,META,,,,,,,,,USXE,NAS
09-May-1997,META,,,,,,,,,USXE,NAS
12-May-1997,META,,,,,,,,,USXE,NAS
13-May-1997,META,,,,,,,,,USXE,NAS
14-May-1997,META,,,,,,,,,USXE,NAS
15-May-1997,META,,,,,,,,,USXE,NAS
16-May-1997,META,,,,,,,,,USXE,NAS
19-May-1997,META,,,,,,,,,USXE,NAS
20-May-1997,META,,,,,,,,,USXE,NAS
21-May-1997,META,,,,,,,,,USXE,NAS
22-May-1997,META,,,,,,,,,USXE,NAS
23-May-1997,META,,,,,,,,,USXE,NAS
26-May-1997,META,,,,,,,,,USXE,NAS
27-May-1997,META,,,,,,,,,USXE,NAS
28-May-1997,META,,,,,,,,,USXE,NAS
29-May-1997,META,,,,,,,,,USXE,NAS
30-May-1997,META,,,,,,,,,USXE,NAS
02-Jun-1997,META,,,,,,,,,USXE,NAS
03-Jun-1997,META,,,,,,,,,USXE,NAS
04-Jun-1997,META,,,,,,,,,USXE,NAS
05-Jun-1997,META,,,,,,,,,USXE,NAS
06-Jun-1997,META,,,,,,,,,USXE,NAS
09-Jun-1997,META,,,,,,,,,USXE,NAS
10-Jun-1997,META,,,,,,,,,USXE,NAS
11-Jun-1997,META,,,,,,,,,USXE,NAS
12-Jun-1997,META,,,,,,,,,USXE,NAS
13-Jun-1997,META,,,,,,,,,USXE,NAS
16-Jun-1997,META,,,,,,,,,USXE,NAS
17-Jun-1997,META,,,,,,,,,USXE,NAS
18-Jun-1997,META,,,,,,,,,USXE,NAS
19-Jun-1997,META,,,,,,,,,USXE,NAS
20-Jun-1997,META,,,,,,,,,USXE,NAS
23-Jun-1997,META,,,,,,,,,USXE,NAS
24-Jun-1997,META,,,,,,,,,USXE,NAS
25-Jun-1997,META,,,,,,,,,USXE,NAS
26-Jun-1997,META,,,,,,,,,USXE,NAS
27-Jun-1997,META,,,,,,,,,USXE,NAS
30-Jun-1997,META,,,,,,,,,USXE,NAS
01-Jul-1997,META,,,,,,,,,USXE,NAS
02-Jul-1997,META,,,,,,,,,USXE,NAS
03-Jul-1997,META,,,,,,,,,USXE,NAS
04-Jul-1997,META,,,,,,,,,USXE,NAS
07-Jul-1997,META,,,,,,,,,USXE,NAS
08-Jul-1997,META,,,,,,,,,USXE,NAS
09-Jul-1997,META,,,,,,,,,USXE,NAS
10-Jul-1997,META,,,,,,,,,USXE,NAS
11-Jul-1997,META,,,,,,,,,USXE,NAS
14-Jul-1997,META,,,,,,,,,USXE,NAS
15-Jul-1997,META,,,,,,,,,USXE,NAS
16-Jul-1997,META,,,,,,,,,USXE,NAS
17-Jul-1997,META,,,,,,,,,USXE,NAS
