Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,MQG,8.2802,8.2999,8.2114,8.2114,31808,262861,23,0.9834,ASX,TME
18-Mar-1997,MQG,8.2114,8.2212,8.1819,8.2114,166652,1368120,33,0.9834,ASX,TME
19-Mar-1997,MQG,8.1917,8.1917,8.113,8.1229,99404,807038,45,0.9834,ASX,TME
20-Mar-1997,MQG,8.114,8.1819,8.113,8.1622,122005,995378,35,0.9834,ASX,TME
21-Mar-1997,MQG,8.1622,8.1721,8.1622,8.1622,113304,924859,20,0.9834,ASX,TME
24-Mar-1997,MQG,8.1721,8.2606,8.1721,8.2409,47296,388791,19,0.9834,ASX,TME
25-Mar-1997,MQG,8.3097,8.3294,8.3097,8.3196,91936,764032,14,0.9834,ASX,TME
26-Mar-1997,MQG,8.3196,8.3294,8.3196,8.3196,34597,286508,15,0.9834,ASX,TME
27-Mar-1997,MQG,8.3196,8.5064,8.3196,8.3589,325953,2736360,80,0.9834,ASX,TME
28-Mar-1997,MQG,,8.3589,8.3589,8.3589,0,0,0,0.9834,ASX,TME
31-Mar-1997,MQG,,8.3589,8.3589,8.3589,0,0,0,0.9834,ASX,TME
01-Apr-1997,MQG,8.3589,8.3589,8.2114,8.2606,303026,2523760,22,0.9834,ASX,TME
02-Apr-1997,MQG,8.2999,8.3786,8.2999,8.3589,85011,710306,25,0.9834,ASX,TME
03-Apr-1997,MQG,8.2606,8.2802,8.2606,8.2802,675642,5581330,42,0.9834,ASX,TME
04-Apr-1997,MQG,8.3589,8.3589,8.3196,8.3589,7932,66100,6,0.9834,ASX,TME
07-Apr-1997,MQG,8.3196,8.3589,8.3196,8.3196,10163,84747,9,0.9834,ASX,TME
08-Apr-1997,MQG,8.3196,8.3786,8.2606,8.2606,27069,225183,19,0.9834,ASX,TME
09-Apr-1997,MQG,8.2704,8.3196,8.2606,8.3196,14285,118231,7,0.9834,ASX,TME
10-Apr-1997,MQG,8.3589,8.4081,8.3589,8.3589,190737,1588670,18,0.9834,ASX,TME
11-Apr-1997,MQG,8.3589,8.4179,8.3589,8.4081,159600,1341370,22,0.9834,ASX,TME
14-Apr-1997,MQG,8.3589,8.3884,8.3589,8.3884,25585,214543,13,0.9834,ASX,TME
15-Apr-1997,MQG,8.4179,8.5064,8.4179,8.5064,358469,3038910,32,0.9834,ASX,TME
16-Apr-1997,MQG,8.5064,8.5752,8.5064,8.5556,431870,3694800,18,0.9834,ASX,TME
17-Apr-1997,MQG,8.5556,8.5556,8.5457,8.5556,175626,1502570,9,0.9834,ASX,TME
18-Apr-1997,MQG,8.5064,8.5556,8.5064,8.5556,552301,4721880,42,0.9834,ASX,TME
21-Apr-1997,MQG,8.5556,8.6539,8.5556,8.6539,760737,6543690,46,0.9834,ASX,TME
22-Apr-1997,MQG,8.6539,8.9489,8.6539,8.9489,766207,6771160,45,0.9834,ASX,TME
23-Apr-1997,MQG,9.0473,9.4406,9.0473,9.4406,680797,6300370,113,0.9834,ASX,TME
24-Apr-1997,MQG,9.3423,9.4013,9.3423,9.3915,267674,2511970,75,0.9834,ASX,TME
25-Apr-1997,MQG,,9.3915,9.3915,9.3915,0,0,0,0.9834,ASX,TME
28-Apr-1997,MQG,9.3,9.3423,9.2243,9.2341,80740,748389,30,0.9834,ASX,TME
29-Apr-1997,MQG,9.2243,9.2243,9.1358,9.1368,173937,1596530,37,0.9834,ASX,TME
