Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,RIO,14.812,14.812,14.575,14.63,10910296,161231000,267,0.7887,ASX,TME
18-Mar-1997,RIO,14.713,14.717,14.528,14.552,4670039,72948800,283,0.7887,ASX,TME
19-Mar-1997,RIO,14.552,14.599,14.449,14.552,5770356,84635400,417,0.7887,ASX,TME
20-Mar-1997,RIO,14.588,14.638,14.504,14.528,4881298,71493700,228,0.7887,ASX,TME
21-Mar-1997,RIO,14.48,14.512,14.394,14.441,25414987,369657000,260,0.7887,ASX,TME
24-Mar-1997,RIO,14.433,14.544,14.37,14.386,5165171,70663100,229,0.7887,ASX,TME
25-Mar-1997,RIO,14.512,14.512,14.41,14.433,3992329,60999500,237,0.7887,ASX,TME
26-Mar-1997,RIO,,14.607,14.425,14.567,1338126,19473200,210,0.7887,ASX,TME
27-Mar-1997,RIO,14.69,14.946,14.69,14.875,16920376,245955000,552,0.7887,ASX,TME
28-Mar-1997,RIO,,14.875,14.875,14.875,0,0,0,0.7887,ASX,TME
31-Mar-1997,RIO,,14.875,14.875,14.875,0,0,0,0.7887,ASX,TME
01-Apr-1997,RIO,14.506,14.567,14.354,14.37,2785127,40283700,240,0.7887,ASX,TME
02-Apr-1997,RIO,14.598,14.63,14.52,14.575,2983302,43368500,240,0.7887,ASX,TME
03-Apr-1997,RIO,14.52,14.552,14.473,14.544,2829606,41074300,291,0.7887,ASX,TME
04-Apr-1997,RIO,,14.804,14.533,14.804,2789857,40901700,304,0.7887,ASX,TME
07-Apr-1997,RIO,,15.064,14.82,14.946,3252238,48776200,307,0.7887,ASX,TME
08-Apr-1997,RIO,14.91,14.946,14.828,14.867,986809,14689400,173,0.7887,ASX,TME
09-Apr-1997,RIO,14.899,14.899,14.709,14.749,631506,9315060,135,0.7887,ASX,TME
10-Apr-1997,RIO,14.733,14.749,14.654,14.67,1698770,24946800,188,0.7887,ASX,TME
11-Apr-1997,RIO,14.634,14.67,14.504,14.552,1565614,22775400,190,0.7887,ASX,TME
14-Apr-1997,RIO,14.415,14.512,14.394,14.498,1251877,18147500,189,0.7887,ASX,TME
15-Apr-1997,RIO,14.591,14.67,14.591,14.615,1309218,19158100,189,0.7887,ASX,TME
16-Apr-1997,RIO,14.709,14.828,14.709,14.749,1488449,21987700,235,0.7887,ASX,TME
17-Apr-1997,RIO,14.827,14.946,14.788,14.906,1161315,17275000,218,0.7887,ASX,TME
18-Apr-1997,RIO,14.867,15.064,14.867,15.009,2096285,31432500,247,0.7887,ASX,TME
21-Apr-1997,RIO,15.048,15.088,14.985,14.993,632997,9516520,175,0.7887,ASX,TME
22-Apr-1997,RIO,14.97,15.064,14.891,14.891,911391,13643900,193,0.7887,ASX,TME
23-Apr-1997,RIO,14.986,15.143,14.986,15.056,1261186,18981800,185,0.7887,ASX,TME
24-Apr-1997,RIO,15.064,15.159,15.025,15.064,2431672,36707800,190,0.7887,ASX,TME
25-Apr-1997,RIO,,15.064,15.064,15.064,0,0,0,0.7887,ASX,TME
28-Apr-1997,RIO,15.001,15.08,14.962,14.985,3071257,43162000,217,0.7887,ASX,TME
29-Apr-1997,RIO,14.985,14.985,14.891,14.962,1104715,16506700,172,0.7887,ASX,TME
30-Apr-1997,RIO,15.143,15.261,15.064,15.08,1629555,24695400,307,0.7887,ASX,TME
01-May-1997,RIO,15.083,15.083,14.914,15.009,2329669,34884300,253,0.7887,ASX,TME
02-May-1997,RIO,15.033,15.175,15.025,15.064,1576772,23804400,209,0.7887,ASX,TME
05-May-1997,RIO,15.143,15.206,15.048,15.064,1599620,24180500,214,0.7887,ASX,TME
06-May-1997,RIO,15.111,15.182,15.088,15.151,1891492,28626100,294,0.7887,ASX,TME
07-May-1997,RIO,15.157,15.293,15.135,15.261,905271,13781600,191,0.7887,ASX,TME
08-May-1997,RIO,15.222,15.309,15.206,15.301,966166,14757000,186,0.7887,ASX,TME
09-May-1997,RIO,15.316,15.537,15.316,15.498,1091581,16855600,224,0.7887,ASX,TME
12-May-1997,RIO,15.553,15.648,15.537,15.545,973681,15089700,147,0.7887,ASX,TME
13-May-1997,RIO,15.616,15.671,15.593,15.616,1018014,15906200,203,0.7887,ASX,TME
14-May-1997,RIO,15.6,15.656,15.593,15.632,974221,15234400,155,0.7887,ASX,TME
15-May-1997,RIO,15.791,15.892,15.679,15.795,1536072,24212900,237,0.7887,ASX,TME
16-May-1997,RIO,15.872,16.184,15.872,16.097,2982756,47902800,379,0.7887,ASX,TME
19-May-1997,RIO,16.097,16.563,16.097,16.444,3449347,56615200,337,0.7887,ASX,TME
20-May-1997,RIO,16.496,16.657,16.495,16.657,1988094,32975000,363,0.7887,ASX,TME
21-May-1997,RIO,16.651,16.705,16.586,16.657,3411703,56806900,244,0.7887,ASX,TME
22-May-1997,RIO,16.613,16.72,16.608,16.642,1410346,23528000,248,0.7887,ASX,TME
23-May-1997,RIO,16.719,17.115,16.717,17.075,1473260,24870700,285,0.7887,ASX,TME
26-May-1997,RIO,17.075,17.32,17.075,17.284,1644123,28385100,294,0.7887,ASX,TME
27-May-1997,RIO,17.273,17.28,17.02,17.194,1786180,30597700,343,0.7887,ASX,TME
28-May-1997,RIO,17.146,17.209,17.02,17.194,1218793,20867300,258,0.7887,ASX,TME
29-May-1997,RIO,17.186,17.194,16.918,16.957,2230975,37901100,263,0.7887,ASX,TME
30-May-1997,RIO,16.959,17.044,16.941,16.982,6601369,103638000,275,0.7887,ASX,TME
02-Jun-1997,RIO,16.957,16.957,16.752,16.839,1323025,22223800,234,0.7887,ASX,TME
03-Jun-1997,RIO,16.788,16.788,16.642,16.657,2359300,38762400,277,0.7887,ASX,TME
04-Jun-1997,RIO,16.668,16.76,16.618,16.681,1371003,22918200,307,0.7887,ASX,TME
05-Jun-1997,RIO,16.602,16.705,16.523,16.618,1916026,31844400,236,0.7887,ASX,TME
06-Jun-1997,RIO,16.56,16.581,16.326,16.444,1404438,23029300,233,0.7887,ASX,TME
09-Jun-1997,RIO,16.444,16.444,16.444,16.444,0,0,0,0.7887,ASX,TME
10-Jun-1997,RIO,16.563,16.776,16.563,16.705,1340738,22388600,248,0.7887,ASX,TME
11-Jun-1997,RIO,16.899,17.036,16.87,16.973,2261253,38359500,332,0.7887,ASX,TME
12-Jun-1997,RIO,17.004,17.351,17.004,17.336,2669101,46135800,306,0.7887,ASX,TME
13-Jun-1997,RIO,17.508,17.604,17.47,17.577,1242777,21825200,245,0.7887,ASX,TME
16-Jun-1997,RIO,17.59,17.831,17.588,17.831,1461912,26005700,257,0.7887,ASX,TME
17-Jun-1997,RIO,17.888,18.416,17.872,18.294,1925181,34940500,370,0.7887,ASX,TME
18-Jun-1997,RIO,18.305,18.337,18.132,18.322,3072182,56096600,296,0.7887,ASX,TME
19-Jun-1997,RIO,18.05,18.258,18.014,18.172,2103081,38221400,267,0.7887,ASX,TME
20-Jun-1997,RIO,18.079,18.176,17.84,17.84,2733333,49060700,388,0.7887,ASX,TME
23-Jun-1997,RIO,17.821,17.821,17.667,17.706,1795689,31822900,241,0.7887,ASX,TME
24-Jun-1997,RIO,17.523,17.84,17.509,17.788,788951,13997000,269,0.7887,ASX,TME
25-Jun-1997,RIO,17.911,18.061,17.864,18.053,1398504,25184400,298,0.7887,ASX,TME
26-Jun-1997,RIO,17.982,18.015,17.903,18.015,2656840,47731200,321,0.7887,ASX,TME
27-Jun-1997,RIO,17.785,17.825,17.706,17.801,19604286,299654000,518,0.7887,ASX,TME
30-Jun-1997,RIO,17.748,17.809,17.698,17.809,1513605,26876600,380,0.7887,ASX,TME
01-Jul-1997,RIO,17.684,17.762,17.627,17.722,1954545,34673500,235,0.7887,ASX,TME
02-Jul-1997,RIO,17.803,18.258,17.786,18.116,1539191,27886700,238,0.7887,ASX,TME
03-Jul-1997,RIO,18.127,18.132,17.651,17.667,1632852,29137800,290,0.7887,ASX,TME
04-Jul-1997,RIO,17.691,17.903,17.627,17.691,646044,11475600,197,0.7887,ASX,TME
07-Jul-1997,RIO,17.683,17.848,17.588,17.706,877878,15508800,172,0.7887,ASX,TME
08-Jul-1997,RIO,17.651,17.651,17.351,17.399,1111226,19375400,213,0.7887,ASX,TME
09-Jul-1997,RIO,17.399,17.47,17.367,17.399,2090998,36343600,239,0.7887,ASX,TME
10-Jul-1997,RIO,17.395,17.395,17.036,17.131,595862,10228800,184,0.7887,ASX,TME
11-Jul-1997,RIO,17.202,17.351,17.154,17.202,1463167,25214000,164,0.7887,ASX,TME
14-Jul-1997,RIO,17.28,17.28,17.044,17.109,2324420,39886700,175,0.7887,ASX,TME
15-Jul-1997,RIO,17.107,17.107,16.918,16.957,1307531,22202600,284,0.7887,ASX,TME
16-Jul-1997,RIO,16.957,17.044,16.878,17.044,717131,12155100,183,0.7887,ASX,TME
17-Jul-1997,RIO,17.075,17.233,16.996,17.004,1365399,23344700,266,0.7887,ASX,TME
18-Jul-1997,RIO,17.115,17.194,17.083,17.194,1085721,18617000,207,0.7887,ASX,TME
21-Jul-1997,RIO,17.075,17.115,16.878,16.894,849956,14405300,204,0.7887,ASX,TME
22-Jul-1997,RIO,16.892,16.965,16.705,16.734,603621,10144300,178,0.7887,ASX,TME
23-Jul-1997,RIO,16.901,16.949,16.642,16.657,1464879,24656300,264,0.7887,ASX,TME
24-Jul-1997,RIO,16.702,16.76,16.547,16.76,2250412,37467600,284,0.7887,ASX,TME
25-Jul-1997,RIO,16.642,16.76,16.602,16.76,3719539,63328100,268,0.7887,ASX,TME
28-Jul-1997,RIO,16.72,16.918,16.72,16.841,1139984,19202800,178,0.7887,ASX,TME
29-Jul-1997,RIO,16.918,16.918,16.563,16.626,971594,16214100,210,0.7887,ASX,TME
30-Jul-1997,RIO,16.63,16.642,16.484,16.484,1220869,20267700,246,0.7887,ASX,TME
31-Jul-1997,RIO,16.618,16.618,16.444,16.466,1725472,28464100,281,0.7887,ASX,TME
01-Aug-1997,RIO,16.366,16.484,16.287,16.399,1597857,26127000,184,0.7887,ASX,TME
04-Aug-1997,RIO,16.326,16.326,16.231,16.302,333056,5417500,104,0.7887,ASX,TME
05-Aug-1997,RIO,16.326,16.326,16.089,16.153,1486205,24021400,190,0.7887,ASX,TME
06-Aug-1997,RIO,16.208,16.405,16.208,16.405,774197,12667100,210,0.7887,ASX,TME
07-Aug-1997,RIO,16.584,16.642,16.429,16.444,1198989,19820600,291,0.7887,ASX,TME
08-Aug-1997,RIO,16.484,16.831,16.484,16.799,3007823,50237900,335,0.7887,ASX,TME
11-Aug-1997,RIO,16.874,17.012,16.72,16.776,1280918,21558700,278,0.7887,ASX,TME
12-Aug-1997,RIO,16.843,16.878,16.72,16.799,1873780,31370600,270,0.7887,ASX,TME
13-Aug-1997,RIO,16.686,16.72,16.563,16.697,1255939,20915900,308,0.7887,ASX,TME
14-Aug-1997,RIO,16.642,16.705,16.563,16.602,903687,15025000,242,0.7887,ASX,TME
15-Aug-1997,RIO,16.642,16.957,16.642,16.941,1362711,22988000,285,0.7887,ASX,TME
18-Aug-1997,RIO,16.642,16.66,16.413,16.547,851314,14106300,221,0.7887,ASX,TME
19-Aug-1997,RIO,16.649,16.649,16.326,16.413,968408,15910800,259,0.7887,ASX,TME
20-Aug-1997,RIO,16.485,16.485,16.326,16.326,2205921,36222500,216,0.7887,ASX,TME
21-Aug-1997,RIO,16.458,16.474,16.342,16.358,659885,10820000,193,0.7887,ASX,TME
22-Aug-1997,RIO,16.378,16.378,16.074,16.074,1401369,22619600,238,0.7887,ASX,TME
25-Aug-1997,RIO,16.113,16.208,16.113,16.168,719301,11631700,132,0.7887,ASX,TME
26-Aug-1997,RIO,16.213,16.247,15.932,15.955,1480322,23728200,226,0.7887,ASX,TME
27-Aug-1997,RIO,15.98,16.011,15.892,15.971,986071,15719600,216,0.7887,ASX,TME
28-Aug-1997,RIO,16.168,16.168,15.987,16.042,897010,14794500,160,0.7887,ASX,TME
29-Aug-1997,RIO,15.987,15.987,15.735,15.861,2899113,47088700,364,0.7887,ASX,TME
01-Sep-1997,RIO,15.813,15.979,15.774,15.869,215605,3422330,120,0.7887,ASX,TME
02-Sep-1997,RIO,16.015,16.015,15.679,15.693,1313021,20647100,194,0.7887,ASX,TME
03-Sep-1997,RIO,15.869,15.932,15.758,15.892,394921,6263260,153,0.7887,ASX,TME
04-Sep-1997,RIO,15.836,15.836,15.632,15.671,1857905,29131800,218,0.7887,ASX,TME
05-Sep-1997,RIO,15.735,15.774,15.656,15.656,1189120,18676500,202,0.7887,ASX,TME
08-Sep-1997,RIO,15.739,15.924,15.727,15.908,916057,14511500,240,0.7887,ASX,TME
