Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,SPX,,,,,,,,,ECO,ECO
18-Mar-1997,SPX,,,,,,,,,ECO,ECO
19-Mar-1997,SPX,,,,,,,,,ECO,ECO
20-Mar-1997,SPX,,,,,,,,,ECO,ECO
21-Mar-1997,SPX,,,,,,,,,ECO,ECO
24-Mar-1997,SPX,,,,,,,,,ECO,ECO
25-Mar-1997,SPX,,,,,,,,,ECO,ECO
26-Mar-1997,SPX,,,,,,,,,ECO,ECO
27-Mar-1997,SPX,,,,,,,,,ECO,ECO
28-Mar-1997,SPX,,,,,,,,,ECO,ECO
31-Mar-1997,SPX,,,,,,,,,ECO,ECO
01-Apr-1997,SPX,,,,,,,,,ECO,ECO
02-Apr-1997,SPX,,,,,,,,,ECO,ECO
03-Apr-1997,SPX,,,,,,,,,ECO,ECO
04-Apr-1997,SPX,,,,,,,,,ECO,ECO
07-Apr-1997,SPX,,,,,,,,,ECO,ECO
08-Apr-1997,SPX,,,,,,,,,ECO,ECO
09-Apr-1997,SPX,,,,,,,,,ECO,ECO
10-Apr-1997,SPX,,,,,,,,,ECO,ECO
11-Apr-1997,SPX,,,,,,,,,ECO,ECO
14-Apr-1997,SPX,,,,,,,,,ECO,ECO
15-Apr-1997,SPX,,,,,,,,,ECO,ECO
16-Apr-1997,SPX,,,,,,,,,ECO,ECO
17-Apr-1997,SPX,,,,,,,,,ECO,ECO
18-Apr-1997,SPX,,,,,,,,,ECO,ECO
21-Apr-1997,SPX,,,,,,,,,ECO,ECO
22-Apr-1997,SPX,,,,,,,,,ECO,ECO
23-Apr-1997,SPX,,,,,,,,,ECO,ECO
24-Apr-1997,SPX,,,,,,,,,ECO,ECO
25-Apr-1997,SPX,,,,,,,,,ECO,ECO
28-Apr-1997,SPX,,,,,,,,,ECO,ECO
29-Apr-1997,SPX,,,,,,,,,ECO,ECO
30-Apr-1997,SPX,,,,,,,,,ECO,ECO
01-May-1997,SPX,,,,,,,,,ECO,ECO
02-May-1997,SPX,,,,,,,,,ECO,ECO
05-May-1997,SPX,,,,,,,,,ECO,ECO
06-May-1997,SPX,,,,,,,,,ECO,ECO
07-May-1997,SPX,,,,,,,,,ECO,ECO
08-May-1997,SPX,,,,,,,,,ECO,ECO
09-May-1997,SPX,,,,,,,,,ECO,ECO
12-May-1997,SPX,,,,,,,,,ECO,ECO
13-May-1997,SPX,,,,,,,,,ECO,ECO
14-May-1997,SPX,,,,,,,,,ECO,ECO
15-May-1997,SPX,,,,,,,,,ECO,ECO
16-May-1997,SPX,,,,,,,,,ECO,ECO
19-May-1997,SPX,,,,,,,,,ECO,ECO
20-May-1997,SPX,,,,,,,,,ECO,ECO
21-May-1997,SPX,,,,,,,,,ECO,ECO
22-May-1997,SPX,,,,,,,,,ECO,ECO
23-May-1997,SPX,,,,,,,,,ECO,ECO
26-May-1997,SPX,,,,,,,,,ECO,ECO
27-May-1997,SPX,,,,,,,,,ECO,ECO
28-May-1997,SPX,,,,,,,,,ECO,ECO
29-May-1997,SPX,,,,,,,,,ECO,ECO
30-May-1997,SPX,,,,,,,,,ECO,ECO
02-Jun-1997,SPX,,,,,,,,,ECO,ECO
03-Jun-1997,SPX,,,,,,,,,ECO,ECO
04-Jun-1997,SPX,,,,,,,,,ECO,ECO
05-Jun-1997,SPX,,,,,,,,,ECO,ECO
06-Jun-1997,SPX,,,,,,,,,ECO,ECO
09-Jun-1997,SPX,,,,,,,,,ECO,ECO
10-Jun-1997,SPX,,,,,,,,,ECO,ECO
11-Jun-1997,SPX,,,,,,,,,ECO,ECO
12-Jun-1997,SPX,,,,,,,,,ECO,ECO
13-Jun-1997,SPX,,,,,,,,,ECO,ECO
16-Jun-1997,SPX,,,,,,,,,ECO,ECO
17-Jun-1997,SPX,,,,,,,,,ECO,ECO
18-Jun-1997,SPX,,,,,,,,,ECO,ECO
19-Jun-1997,SPX,,,,,,,,,ECO,ECO
20-Jun-1997,SPX,,,,,,,,,ECO,ECO
23-Jun-1997,SPX,,,,,,,,,ECO,ECO
24-Jun-1997,SPX,,,,,,,,,ECO,ECO
25-Jun-1997,SPX,,,,,,,,,ECO,ECO
26-Jun-1997,SPX,,,,,,,,,ECO,ECO
27-Jun-1997,SPX,,,,,,,,,ECO,ECO
30-Jun-1997,SPX,,,,,,,,,ECO,ECO
01-Jul-1997,SPX,,,,,,,,,ECO,ECO
02-Jul-1997,SPX,,,,,,,,,ECO,ECO
03-Jul-1997,SPX,,,,,,,,,ECO,ECO
04-Jul-1997,SPX,,,,,,,,,ECO,ECO
07-Jul-1997,SPX,,,,,,,,,ECO,ECO
08-Jul-1997,SPX,,,,,,,,,ECO,ECO
09-Jul-1997,SPX,,,,,,,,,ECO,ECO
10-Jul-1997,SPX,,,,,,,,,ECO,ECO
11-Jul-1997,SPX,,,,,,,,,ECO,ECO
14-Jul-1997,SPX,,,,,,,,,ECO,ECO
15-Jul-1997,SPX,,,,,,,,,ECO,ECO
16-Jul-1997,SPX,,,,,,,,,ECO,ECO
17-Jul-1997,SPX,,,,,,,,,ECO,ECO
18-Jul-1997,SPX,,,,,,,,,ECO,ECO
21-Jul-1997,SPX,,,,,,,,,ECO,ECO
22-Jul-1997,SPX,,,,,,,,,ECO,ECO
23-Jul-1997,SPX,,,,,,,,,ECO,ECO
24-Jul-1997,SPX,,,,,,,,,ECO,ECO
25-Jul-1997,SPX,,,,,,,,,ECO,ECO
28-Jul-1997,SPX,,,,,,,,,ECO,ECO
29-Jul-1997,SPX,,,,,,,,,ECO,ECO
30-Jul-1997,SPX,,,,,,,,,ECO,ECO
31-Jul-1997,SPX,,,,,,,,,ECO,ECO
01-Aug-1997,SPX,,,,,,,,,ECO,ECO
04-Aug-1997,SPX,,,,,,,,,ECO,ECO
05-Aug-1997,SPX,,,,,,,,,ECO,ECO
06-Aug-1997,SPX,,,,,,,,,ECO,ECO
07-Aug-1997,SPX,,,,,,,,,ECO,ECO
08-Aug-1997,SPX,,,,,,,,,ECO,ECO
11-Aug-1997,SPX,,,,,,,,,ECO,ECO
12-Aug-1997,SPX,,,,,,,,,ECO,ECO
13-Aug-1997,SPX,,,,,,,,,ECO,ECO
14-Aug-1997,SPX,,,,,,,,,ECO,ECO
15-Aug-1997,SPX,,,,,,,,,ECO,ECO
18-Aug-1997,SPX,,,,,,,,,ECO,ECO
19-Aug-1997,SPX,,,,,,,,,ECO,ECO
20-Aug-1997,SPX,,,,,,,,,ECO,ECO
21-Aug-1997,SPX,,,,,,,,,ECO,ECO
22-Aug-1997,SPX,,,,,,,,,ECO,ECO
25-Aug-1997,SPX,,,,,,,,,ECO,ECO
26-Aug-1997,SPX,,,,,,,,,ECO,ECO
27-Aug-1997,SPX,,,,,,,,,ECO,ECO
28-Aug-1997,SPX,,,,,,,,,ECO,ECO
29-Aug-1997,SPX,,,,,,,,,ECO,ECO
01-Sep-1997,SPX,,,,,,,,,ECO,ECO
02-Sep-1997,SPX,,,,,,,,,ECO,ECO
03-Sep-1997,SPX,,,,,,,,,ECO,ECO
04-Sep-1997,SPX,,,,,,,,,ECO,ECO
05-Sep-1997,SPX,,,,,,,,,ECO,ECO
08-Sep-1997,SPX,,,,,,,,,ECO,ECO
09-Sep-1997,SPX,,,,,,,,,ECO,ECO
10-Sep-1997,SPX,,,,,,,,,ECO,ECO
11-Sep-1997,SPX,,,,,,,,,ECO,ECO
12-Sep-1997,SPX,,,,,,,,,ECO,ECO
15-Sep-1997,SPX,,,,,,,,,ECO,ECO
16-Sep-1997,SPX,,,,,,,,,ECO,ECO
17-Sep-1997,SPX,,,,,,,,,ECO,ECO
18-Sep-1997,SPX,,,,,,,,,ECO,ECO
19-Sep-1997,SPX,,,,,,,,,ECO,ECO
22-Sep-1997,SPX,,,,,,,,,ECO,ECO
23-Sep-1997,SPX,,,,,,,,,ECO,ECO
24-Sep-1997,SPX,,,,,,,,,ECO,ECO
25-Sep-1997,SPX,,,,,,,,,ECO,ECO
26-Sep-1997,SPX,,,,,,,,,ECO,ECO
29-Sep-1997,SPX,,,,,,,,,ECO,ECO
30-Sep-1997,SPX,,,,,,,,,ECO,ECO
01-Oct-1997,SPX,,,,,,,,,ECO,ECO
02-Oct-1997,SPX,,,,,,,,,ECO,ECO
03-Oct-1997,SPX,,,,,,,,,ECO,ECO
06-Oct-1997,SPX,,,,,,,,,ECO,ECO
07-Oct-1997,SPX,,,,,,,,,ECO,ECO
08-Oct-1997,SPX,,,,,,,,,ECO,ECO
09-Oct-1997,SPX,,,,,,,,,ECO,ECO
10-Oct-1997,SPX,,,,,,,,,ECO,ECO
13-Oct-1997,SPX,,,,,,,,,ECO,ECO
14-Oct-1997,SPX,,,,,,,,,ECO,ECO
15-Oct-1997,SPX,,,,,,,,,ECO,ECO
16-Oct-1997,SPX,,,,,,,,,ECO,ECO
17-Oct-1997,SPX,,,,,,,,,ECO,ECO
20-Oct-1997,SPX,,,,,,,,,ECO,ECO
21-Oct-1997,SPX,,,,,,,,,ECO,ECO
22-Oct-1997,SPX,,,,,,,,,ECO,ECO
23-Oct-1997,SPX,,,,,,,,,ECO,ECO
24-Oct-1997,SPX,,,,,,,,,ECO,ECO
27-Oct-1997,SPX,,,,,,,,,ECO,ECO
28-Oct-1997,SPX,,,,,,,,,ECO,ECO
29-Oct-1997,SPX,,,,,,,,,ECO,ECO
30-Oct-1997,SPX,,,,,,,,,ECO,ECO
31-Oct-1997,SPX,,,,,,,,,ECO,ECO
03-Nov-1997,SPX,,,,,,,,,ECO,ECO
04-Nov-1997,SPX,,,,,,,,,ECO,ECO
05-Nov-1997,SPX,,,,,,,,,ECO,ECO
06-Nov-1997,SPX,,,,,,,,,ECO,ECO
07-Nov-1997,SPX,,,,,,,,,ECO,ECO
10-Nov-1997,SPX,,,,,,,,,ECO,ECO
11-Nov-1997,SPX,,,,,,,,,ECO,ECO
12-Nov-1997,SPX,,,,,,,,,ECO,ECO
13-Nov-1997,SPX,,,,,,,,,ECO,ECO
14-Nov-1997,SPX,,,,,,,,,ECO,ECO
17-Nov-1997,SPX,,,,,,,,,ECO,ECO
18-Nov-1997,SPX,,,,,,,,,ECO,ECO
19-Nov-1997,SPX,,,,,,,,,ECO,ECO
20-Nov-1997,SPX,,,,,,,,,ECO,ECO
21-Nov-1997,SPX,,,,,,,,,ECO,ECO
24-Nov-1997,SPX,,,,,,,,,ECO,ECO
25-Nov-1997,SPX,,,,,,,,,ECO,ECO
26-Nov-1997,SPX,,,,,,,,,ECO,ECO
27-Nov-1997,SPX,,,,,,,,,ECO,ECO
28-Nov-1997,SPX,,,,,,,,,ECO,ECO
01-Dec-1997,SPX,,,,,,,,,ECO,ECO
02-Dec-1997,SPX,,,,,,,,,ECO,ECO
03-Dec-1997,SPX,,,,,,,,,ECO,ECO
04-Dec-1997,SPX,,,,,,,,,ECO,ECO
05-Dec-1997,SPX,,,,,,,,,ECO,ECO
08-Dec-1997,SPX,,,,,,,,,ECO,ECO
09-Dec-1997,SPX,,,,,,,,,ECO,ECO
10-Dec-1997,SPX,,,,,,,,,ECO,ECO
11-Dec-1997,SPX,,,,,,,,,ECO,ECO
12-Dec-1997,SPX,,,,,,,,,ECO,ECO
15-Dec-1997,SPX,,,,,,,,,ECO,ECO
16-Dec-1997,SPX,,,,,,,,,ECO,ECO
17-Dec-1997,SPX,,,,,,,,,ECO,ECO
18-Dec-1997,SPX,,,,,,,,,ECO,ECO
19-Dec-1997,SPX,,,,,,,,,ECO,ECO
22-Dec-1997,SPX,,,,,,,,,ECO,ECO
23-Dec-1997,SPX,,,,,,,,,ECO,ECO
24-Dec-1997,SPX,,,,,,,,,ECO,ECO
25-Dec-1997,SPX,,,,,,,,,ECO,ECO
26-Dec-1997,SPX,,,,,,,,,ECO,ECO
29-Dec-1997,SPX,,,,,,,,,ECO,ECO
30-Dec-1997,SPX,,,,,,,,,ECO,ECO
31-Dec-1997,SPX,,,,,,,,,ECO,ECO
01-Jan-1998,SPX,,,,,,,,,ECO,ECO
02-Jan-1998,SPX,,,,,,,,,ECO,ECO
05-Jan-1998,SPX,,,,,,,,,ECO,ECO
06-Jan-1998,SPX,,,,,,,,,ECO,ECO
07-Jan-1998,SPX,,,,,,,,,ECO,ECO
08-Jan-1998,SPX,,,,,,,,,ECO,ECO
09-Jan-1998,SPX,,,,,,,,,ECO,ECO
12-Jan-1998,SPX,,,,,,,,,ECO,ECO
13-Jan-1998,SPX,,,,,,,,,ECO,ECO
14-Jan-1998,SPX,,,,,,,,,ECO,ECO
15-Jan-1998,SPX,,,,,,,,,ECO,ECO
16-Jan-1998,SPX,,,,,,,,,ECO,ECO
19-Jan-1998,SPX,,,,,,,,,ECO,ECO
20-Jan-1998,SPX,,,,,,,,,ECO,ECO
21-Jan-1998,SPX,,,,,,,,,ECO,ECO
22-Jan-1998,SPX,,,,,,,,,ECO,ECO
23-Jan-1998,SPX,,,,,,,,,ECO,ECO
26-Jan-1998,SPX,,,,,,,,,ECO,ECO
27-Jan-1998,SPX,,,,,,,,,ECO,ECO
28-Jan-1998,SPX,,,,,,,,,ECO,ECO
29-Jan-1998,SPX,,,,,,,,,ECO,ECO
30-Jan-1998,SPX,,,,,,,,,ECO,ECO
02-Feb-1998,SPX,,,,,,,,,ECO,ECO
03-Feb-1998,SPX,,,,,,,,,ECO,ECO
04-Feb-1998,SPX,,,,,,,,,ECO,ECO
05-Feb-1998,SPX,,,,,,,,,ECO,ECO
06-Feb-1998,SPX,,,,,,,,,ECO,ECO
09-Feb-1998,SPX,,,,,,,,,ECO,ECO
10-Feb-1998,SPX,,,,,,,,,ECO,ECO
11-Feb-1998,SPX,,,,,,,,,ECO,ECO
12-Feb-1998,SPX,,,,,,,,,ECO,ECO
