Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,USDAUD,1.2533,1.2514,1.2623,1.2591,0,0,0,1,FX,NFX
18-Mar-1997,USDAUD,1.2591,1.2591,1.2744,1.2682,0,0,0,1,FX,NFX
19-Mar-1997,USDAUD,1.2682,1.2665,1.2745,1.2708,0,0,0,1,FX,NFX
20-Mar-1997,USDAUD,1.2708,1.2698,1.2719,1.2719,0,0,0,1,FX,NFX
21-Mar-1997,USDAUD,1.2719,1.2698,1.2775,1.2713,0,0,0,1,FX,NFX
24-Mar-1997,USDAUD,1.2713,1.2661,1.2721,1.2681,0,0,0,1,FX,NFX
25-Mar-1997,USDAUD,1.2681,1.2645,1.2816,1.2788,0,0,0,1,FX,NFX
26-Mar-1997,USDAUD,1.2788,1.2731,1.2812,1.275,0,0,0,1,FX,NFX
27-Mar-1997,USDAUD,1.275,1.2686,1.2814,1.2739,0,0,0,1,FX,NFX
28-Mar-1997,USDAUD,1.2739,1.2731,1.2786,1.2775,0,0,0,1,FX,NFX
31-Mar-1997,USDAUD,1.2775,1.2719,1.2775,1.2729,0,0,0,1,FX,NFX
01-Apr-1997,USDAUD,1.2729,1.2663,1.2744,1.2723,0,0,0,1,FX,NFX
02-Apr-1997,USDAUD,1.2723,1.269,1.2786,1.2767,0,0,0,1,FX,NFX
03-Apr-1997,USDAUD,1.2767,1.2739,1.288,1.2855,0,0,0,1,FX,NFX
04-Apr-1997,USDAUD,1.2855,1.2845,1.2892,1.2892,0,0,0,1,FX,NFX
07-Apr-1997,USDAUD,1.2892,1.2832,1.2917,1.2887,0,0,0,1,FX,NFX
08-Apr-1997,USDAUD,1.2887,1.2786,1.2933,1.2814,0,0,0,1,FX,NFX
09-Apr-1997,USDAUD,1.2814,1.2739,1.2814,1.2744,0,0,0,1,FX,NFX
10-Apr-1997,USDAUD,1.2744,1.2708,1.287,1.2734,0,0,0,1,FX,NFX
11-Apr-1997,USDAUD,1.2734,1.2669,1.2768,1.2737,0,0,0,1,FX,NFX
14-Apr-1997,USDAUD,1.2737,1.2721,1.2855,1.2829,0,0,0,1,FX,NFX
15-Apr-1997,USDAUD,1.2829,1.2829,1.2947,1.2942,0,0,0,1,FX,NFX
16-Apr-1997,USDAUD,1.2942,1.2882,1.3006,1.2943,0,0,0,1,FX,NFX
17-Apr-1997,USDAUD,1.2943,1.2855,1.2963,1.2885,0,0,0,1,FX,NFX
18-Apr-1997,USDAUD,1.2885,1.2867,1.2947,1.2938,0,0,0,1,FX,NFX
21-Apr-1997,USDAUD,1.2938,1.2827,1.2938,1.2867,0,0,0,1,FX,NFX
22-Apr-1997,USDAUD,1.2867,1.2821,1.29,1.288,0,0,0,1,FX,NFX
23-Apr-1997,USDAUD,1.288,1.284,1.292,1.2878,0,0,0,1,FX,NFX
24-Apr-1997,USDAUD,1.2878,1.286,1.2933,1.287,0,0,0,1,FX,NFX
25-Apr-1997,USDAUD,1.287,1.2845,1.2892,1.2888,0,0,0,1,FX,NFX
28-Apr-1997,USDAUD,1.2888,1.2781,1.2933,1.2819,0,0,0,1,FX,NFX
29-Apr-1997,USDAUD,1.2819,1.2775,1.2845,1.2789,0,0,0,1,FX,NFX
