Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,USDCAD,1.369,1.3728,1.3635,1.3707,0,0,0,1,FX,NFX
18-Mar-1997,USDCAD,1.3707,1.3748,1.3693,1.3728,0,0,0,1,FX,NFX
19-Mar-1997,USDCAD,1.3728,1.3799,1.3726,1.3773,0,0,0,1,FX,NFX
20-Mar-1997,USDCAD,1.3773,1.3798,1.3773,1.3795,0,0,0,1,FX,NFX
21-Mar-1997,USDCAD,1.3792,1.3821,1.3769,1.3787,0,0,0,1,FX,NFX
24-Mar-1997,USDCAD,1.3776,1.3793,1.3748,1.3787,0,0,0,1,FX,NFX
25-Mar-1997,USDCAD,1.3787,1.3801,1.3756,1.3785,0,0,0,1,FX,NFX
26-Mar-1997,USDCAD,1.3747,1.3793,1.3717,1.3731,0,0,0,1,FX,NFX
27-Mar-1997,USDCAD,1.3731,1.3799,1.3721,1.3788,0,0,0,1,FX,NFX
28-Mar-1997,USDCAD,1.3798,1.3813,1.3776,1.3805,0,0,0,1,FX,NFX
31-Mar-1997,USDCAD,1.3834,1.3858,1.3793,1.3851,0,0,0,1,FX,NFX
01-Apr-1997,USDCAD,1.3851,1.3902,1.3832,1.3891,0,0,0,1,FX,NFX
02-Apr-1997,USDCAD,1.3891,1.3893,1.3836,1.3862,0,0,0,1,FX,NFX
03-Apr-1997,USDCAD,1.3862,1.3924,1.383,1.3924,0,0,0,1,FX,NFX
04-Apr-1997,USDCAD,1.3924,1.3939,1.3885,1.392,0,0,0,1,FX,NFX
07-Apr-1997,USDCAD,1.3894,1.3946,1.3863,1.3872,0,0,0,1,FX,NFX
08-Apr-1997,USDCAD,1.3872,1.3894,1.3853,1.3882,0,0,0,1,FX,NFX
09-Apr-1997,USDCAD,1.3882,1.3895,1.3882,1.3895,0,0,0,1,FX,NFX
10-Apr-1997,USDCAD,1.3895,1.3951,1.3887,1.3944,0,0,0,1,FX,NFX
11-Apr-1997,USDCAD,1.3968,1.4,1.3921,1.3982,0,0,0,1,FX,NFX
14-Apr-1997,USDCAD,1.3984,1.3997,1.396,1.3995,0,0,0,1,FX,NFX
15-Apr-1997,USDCAD,1.3968,1.3999,1.3937,1.3967,0,0,0,1,FX,NFX
16-Apr-1997,USDCAD,1.3974,1.3993,1.3957,1.3973,0,0,0,1,FX,NFX
17-Apr-1997,USDCAD,1.3973,1.4022,1.3965,1.3997,0,0,0,1,FX,NFX
18-Apr-1997,USDCAD,1.3997,1.4025,1.3973,1.4,0,0,0,1,FX,NFX
21-Apr-1997,USDCAD,1.3983,1.4001,1.3963,1.3984,0,0,0,1,FX,NFX
22-Apr-1997,USDCAD,1.3963,1.399,1.3946,1.3954,0,0,0,1,FX,NFX
23-Apr-1997,USDCAD,1.3954,1.3958,1.3911,1.3934,0,0,0,1,FX,NFX
24-Apr-1997,USDCAD,1.3934,1.3941,1.3908,1.3928,0,0,0,1,FX,NFX
25-Apr-1997,USDCAD,1.3928,1.398,1.3921,1.3973,0,0,0,1,FX,NFX
28-Apr-1997,USDCAD,1.3977,1.4009,1.3921,1.4001,0,0,0,1,FX,NFX
29-Apr-1997,USDCAD,1.4001,1.4021,1.3967,1.3978,0,0,0,1,FX,NFX
30-Apr-1997,USDCAD,1.3978,1.3988,1.3958,1.3978,0,0,0,1,FX,NFX
01-May-1997,USDCAD,1.3907,1.3978,1.3866,1.3878,0,0,0,1,FX,NFX
02-May-1997,USDCAD,1.3878,1.388,1.3807,1.3807,0,0,0,1,FX,NFX
05-May-1997,USDCAD,1.3801,1.3829,1.3787,1.3787,0,0,0,1,FX,NFX
06-May-1997,USDCAD,1.3787,1.3803,1.3764,1.3783,0,0,0,1,FX,NFX
07-May-1997,USDCAD,1.3794,1.3829,1.3736,1.3817,0,0,0,1,FX,NFX
