Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,USDJPY,123.565,123.805,123.225,123.665,0,0,0,1,FX,NFX
18-Mar-1997,USDJPY,122.858,124.005,122.085,122.485,0,0,0,1,FX,NFX
19-Mar-1997,USDJPY,122.485,123.315,122.405,122.765,0,0,0,1,FX,NFX
20-Mar-1997,USDJPY,122.765,123.755,122.765,123.755,0,0,0,1,FX,NFX
21-Mar-1997,USDJPY,123.755,123.755,122.325,122.705,0,0,0,1,FX,NFX
24-Mar-1997,USDJPY,122.778,123.205,122.265,122.865,0,0,0,1,FX,NFX
25-Mar-1997,USDJPY,123.547,124.135,122.83,123.675,0,0,0,1,FX,NFX
26-Mar-1997,USDJPY,123.675,124.495,123.525,124.085,0,0,0,1,FX,NFX
27-Mar-1997,USDJPY,123.758,124.395,123.355,123.525,0,0,0,1,FX,NFX
28-Mar-1997,USDJPY,123.525,124.205,123.405,124.115,0,0,0,1,FX,NFX
31-Mar-1997,USDJPY,123.842,124.225,123.475,123.825,0,0,0,1,FX,NFX
01-Apr-1997,USDJPY,122.42,124.095,121.44,121.725,0,0,0,1,FX,NFX
02-Apr-1997,USDJPY,121.725,123.465,121.715,123.245,0,0,0,1,FX,NFX
03-Apr-1997,USDJPY,122.852,123.345,122.525,122.685,0,0,0,1,FX,NFX
04-Apr-1997,USDJPY,124.3,124.35,124.23,124.32,0,0,0,1,FX,NFX
07-Apr-1997,USDJPY,125.28,125.855,124.26,125.725,0,0,0,1,FX,NFX
08-Apr-1997,USDJPY,126.072,126.555,125.335,126.325,0,0,0,1,FX,NFX
09-Apr-1997,USDJPY,126.655,126.655,126.655,126.655,0,0,0,1,FX,NFX
10-Apr-1997,USDJPY,126.165,127.165,125.535,125.795,0,0,0,1,FX,NFX
11-Apr-1997,USDJPY,125.795,126.235,125.595,126.125,0,0,0,1,FX,NFX
14-Apr-1997,USDJPY,126.352,126.635,125.865,126.555,0,0,0,1,FX,NFX
15-Apr-1997,USDJPY,126.555,126.665,125.985,126.205,0,0,0,1,FX,NFX
16-Apr-1997,USDJPY,126.205,126.355,125.525,125.875,0,0,0,1,FX,NFX
17-Apr-1997,USDJPY,126.135,127.425,125.075,125.905,0,0,0,1,FX,NFX
18-Apr-1997,USDJPY,125.905,126.175,125.675,125.855,0,0,0,1,FX,NFX
21-Apr-1997,USDJPY,125.552,126.145,125.135,125.375,0,0,0,1,FX,NFX
22-Apr-1997,USDJPY,125.375,126.475,125.305,126.375,0,0,0,1,FX,NFX
23-Apr-1997,USDJPY,126.375,126.545,125.855,126.095,0,0,0,1,FX,NFX
24-Apr-1997,USDJPY,126.162,126.535,125.835,126.115,0,0,0,1,FX,NFX
25-Apr-1997,USDJPY,126.115,126.505,125.505,125.925,0,0,0,1,FX,NFX
28-Apr-1997,USDJPY,126.538,127.225,125.505,126.885,0,0,0,1,FX,NFX
29-Apr-1997,USDJPY,126.885,127.265,126.555,126.865,0,0,0,1,FX,NFX
30-Apr-1997,USDJPY,126.865,127.155,126.615,127.105,0,0,0,1,FX,NFX
01-May-1997,USDJPY,127.105,127.495,126.115,126.565,0,0,0,1,FX,NFX
02-May-1997,USDJPY,126.668,126.905,126.475,126.625,0,0,0,1,FX,NFX
05-May-1997,USDJPY,126.625,126.825,126.415,126.635,0,0,0,1,FX,NFX
06-May-1997,USDJPY,126.635,126.855,125.175,125.405,0,0,0,1,FX,NFX
07-May-1997,USDJPY,125.405,126.855,124.625,125.175,0,0,0,1,FX,NFX
08-May-1997,USDJPY,125.175,125.355,123.525,123.675,0,0,0,1,FX,NFX
09-May-1997,USDJPY,121.092,123.775,119.325,120.175,0,0,0,1,FX,NFX
12-May-1997,USDJPY,118.883,119.6,117.675,119.375,0,0,0,1,FX,NFX
13-May-1997,USDJPY,119.375,119.655,118.505,118.515,0,0,0,1,FX,NFX
14-May-1997,USDJPY,117.782,119.165,116.925,117.255,0,0,0,1,FX,NFX
15-May-1997,USDJPY,117.255,117.455,114.755,115.825,0,0,0,1,FX,NFX
16-May-1997,USDJPY,115.825,117.075,114.855,115.365,0,0,0,1,FX,NFX
19-May-1997,USDJPY,115.675,116.475,114.925,115.625,0,0,0,1,FX,NFX
20-May-1997,USDJPY,115.625,115.745,112.005,112.615,0,0,0,1,FX,NFX
21-May-1997,USDJPY,113.813,114.505,112.55,114.385,0,0,0,1,FX,NFX
22-May-1997,USDJPY,114.385,116.275,113.945,116.095,0,0,0,1,FX,NFX
23-May-1997,USDJPY,116.095,116.245,115.125,115.445,0,0,0,1,FX,NFX
26-May-1997,USDJPY,116.162,116.755,115.475,116.255,0,0,0,1,FX,NFX
27-May-1997,USDJPY,116.462,116.805,115.905,116.675,0,0,0,1,FX,NFX
28-May-1997,USDJPY,115.992,117.005,115.165,115.805,0,0,0,1,FX,NFX
29-May-1997,USDJPY,115.805,116.545,115.305,116.375,0,0,0,1,FX,NFX
30-May-1997,USDJPY,116.188,116.835,115.835,115.895,0,0,0,1,FX,NFX
02-Jun-1997,USDJPY,116.435,116.825,115.825,116.655,0,0,0,1,FX,NFX
03-Jun-1997,USDJPY,116.655,116.875,115.675,116.015,0,0,0,1,FX,NFX
04-Jun-1997,USDJPY,116.015,116.535,115.925,116.375,0,0,0,1,FX,NFX
05-Jun-1997,USDJPY,115.828,116.395,115.445,115.645,0,0,0,1,FX,NFX
06-Jun-1997,USDJPY,115.645,116.045,114.375,114.395,0,0,0,1,FX,NFX
09-Jun-1997,USDJPY,112.978,113.025,112.925,112.985,0,0,0,1,FX,NFX
10-Jun-1997,USDJPY,112.388,113.185,111.605,112.375,0,0,0,1,FX,NFX
11-Jun-1997,USDJPY,112.375,112.555,110.605,111.345,0,0,0,1,FX,NFX
12-Jun-1997,USDJPY,111.345,115.755,111.175,114.175,0,0,0,1,FX,NFX
13-Jun-1997,USDJPY,114.175,114.955,114.015,114.555,0,0,0,1,FX,NFX
