Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,VAS,,,,,,,,,TME,AXW
18-Mar-1997,VAS,,,,,,,,,TME,AXW
19-Mar-1997,VAS,,,,,,,,,TME,AXW
20-Mar-1997,VAS,,,,,,,,,TME,AXW
21-Mar-1997,VAS,,,,,,,,,TME,AXW
24-Mar-1997,VAS,,,,,,,,,TME,AXW
25-Mar-1997,VAS,,,,,,,,,TME,AXW
26-Mar-1997,VAS,,,,,,,,,TME,AXW
27-Mar-1997,VAS,,,,,,,,,TME,AXW
28-Mar-1997,VAS,,,,,,,,,TME,AXW
31-Mar-1997,VAS,,,,,,,,,TME,AXW
01-Apr-1997,VAS,,,,,,,,,TME,AXW
02-Apr-1997,VAS,,,,,,,,,TME,AXW
03-Apr-1997,VAS,,,,,,,,,TME,AXW
04-Apr-1997,VAS,,,,,,,,,TME,AXW
07-Apr-1997,VAS,,,,,,,,,TME,AXW
08-Apr-1997,VAS,,,,,,,,,TME,AXW
09-Apr-1997,VAS,,,,,,,,,TME,AXW
10-Apr-1997,VAS,,,,,,,,,TME,AXW
11-Apr-1997,VAS,,,,,,,,,TME,AXW
14-Apr-1997,VAS,,,,,,,,,TME,AXW
15-Apr-1997,VAS,,,,,,,,,TME,AXW
16-Apr-1997,VAS,,,,,,,,,TME,AXW
17-Apr-1997,VAS,,,,,,,,,TME,AXW
18-Apr-1997,VAS,,,,,,,,,TME,AXW
21-Apr-1997,VAS,,,,,,,,,TME,AXW
22-Apr-1997,VAS,,,,,,,,,TME,AXW
23-Apr-1997,VAS,,,,,,,,,TME,AXW
24-Apr-1997,VAS,,,,,,,,,TME,AXW
25-Apr-1997,VAS,,,,,,,,,TME,AXW
28-Apr-1997,VAS,,,,,,,,,TME,AXW
29-Apr-1997,VAS,,,,,,,,,TME,AXW
30-Apr-1997,VAS,,,,,,,,,TME,AXW
01-May-1997,VAS,,,,,,,,,TME,AXW
02-May-1997,VAS,,,,,,,,,TME,AXW
05-May-1997,VAS,,,,,,,,,TME,AXW
06-May-1997,VAS,,,,,,,,,TME,AXW
07-May-1997,VAS,,,,,,,,,TME,AXW
08-May-1997,VAS,,,,,,,,,TME,AXW
09-May-1997,VAS,,,,,,,,,TME,AXW
12-May-1997,VAS,,,,,,,,,TME,AXW
13-May-1997,VAS,,,,,,,,,TME,AXW
14-May-1997,VAS,,,,,,,,,TME,AXW
15-May-1997,VAS,,,,,,,,,TME,AXW
16-May-1997,VAS,,,,,,,,,TME,AXW
19-May-1997,VAS,,,,,,,,,TME,AXW
20-May-1997,VAS,,,,,,,,,TME,AXW
21-May-1997,VAS,,,,,,,,,TME,AXW
22-May-1997,VAS,,,,,,,,,TME,AXW
23-May-1997,VAS,,,,,,,,,TME,AXW
26-May-1997,VAS,,,,,,,,,TME,AXW
27-May-1997,VAS,,,,,,,,,TME,AXW
28-May-1997,VAS,,,,,,,,,TME,AXW
29-May-1997,VAS,,,,,,,,,TME,AXW
30-May-1997,VAS,,,,,,,,,TME,AXW
02-Jun-1997,VAS,,,,,,,,,TME,AXW
03-Jun-1997,VAS,,,,,,,,,TME,AXW
04-Jun-1997,VAS,,,,,,,,,TME,AXW
05-Jun-1997,VAS,,,,,,,,,TME,AXW
06-Jun-1997,VAS,,,,,,,,,TME,AXW
09-Jun-1997,VAS,,,,,,,,,TME,AXW
10-Jun-1997,VAS,,,,,,,,,TME,AXW
11-Jun-1997,VAS,,,,,,,,,TME,AXW
12-Jun-1997,VAS,,,,,,,,,TME,AXW
13-Jun-1997,VAS,,,,,,,,,TME,AXW
16-Jun-1997,VAS,,,,,,,,,TME,AXW
17-Jun-1997,VAS,,,,,,,,,TME,AXW
18-Jun-1997,VAS,,,,,,,,,TME,AXW
19-Jun-1997,VAS,,,,,,,,,TME,AXW
20-Jun-1997,VAS,,,,,,,,,TME,AXW
23-Jun-1997,VAS,,,,,,,,,TME,AXW
24-Jun-1997,VAS,,,,,,,,,TME,AXW
25-Jun-1997,VAS,,,,,,,,,TME,AXW
26-Jun-1997,VAS,,,,,,,,,TME,AXW
27-Jun-1997,VAS,,,,,,,,,TME,AXW
30-Jun-1997,VAS,,,,,,,,,TME,AXW
01-Jul-1997,VAS,,,,,,,,,TME,AXW
02-Jul-1997,VAS,,,,,,,,,TME,AXW
03-Jul-1997,VAS,,,,,,,,,TME,AXW
04-Jul-1997,VAS,,,,,,,,,TME,AXW
07-Jul-1997,VAS,,,,,,,,,TME,AXW
08-Jul-1997,VAS,,,,,,,,,TME,AXW
09-Jul-1997,VAS,,,,,,,,,TME,AXW
10-Jul-1997,VAS,,,,,,,,,TME,AXW
11-Jul-1997,VAS,,,,,,,,,TME,AXW
14-Jul-1997,VAS,,,,,,,,,TME,AXW
15-Jul-1997,VAS,,,,,,,,,TME,AXW
16-Jul-1997,VAS,,,,,,,,,TME,AXW
17-Jul-1997,VAS,,,,,,,,,TME,AXW
18-Jul-1997,VAS,,,,,,,,,TME,AXW
21-Jul-1997,VAS,,,,,,,,,TME,AXW
22-Jul-1997,VAS,,,,,,,,,TME,AXW
23-Jul-1997,VAS,,,,,,,,,TME,AXW
24-Jul-1997,VAS,,,,,,,,,TME,AXW
25-Jul-1997,VAS,,,,,,,,,TME,AXW
28-Jul-1997,VAS,,,,,,,,,TME,AXW
29-Jul-1997,VAS,,,,,,,,,TME,AXW
30-Jul-1997,VAS,,,,,,,,,TME,AXW
31-Jul-1997,VAS,,,,,,,,,TME,AXW
01-Aug-1997,VAS,,,,,,,,,TME,AXW
04-Aug-1997,VAS,,,,,,,,,TME,AXW
05-Aug-1997,VAS,,,,,,,,,TME,AXW
06-Aug-1997,VAS,,,,,,,,,TME,AXW
07-Aug-1997,VAS,,,,,,,,,TME,AXW
08-Aug-1997,VAS,,,,,,,,,TME,AXW
11-Aug-1997,VAS,,,,,,,,,TME,AXW
12-Aug-1997,VAS,,,,,,,,,TME,AXW
13-Aug-1997,VAS,,,,,,,,,TME,AXW
14-Aug-1997,VAS,,,,,,,,,TME,AXW
15-Aug-1997,VAS,,,,,,,,,TME,AXW
18-Aug-1997,VAS,,,,,,,,,TME,AXW
19-Aug-1997,VAS,,,,,,,,,TME,AXW
20-Aug-1997,VAS,,,,,,,,,TME,AXW
21-Aug-1997,VAS,,,,,,,,,TME,AXW
22-Aug-1997,VAS,,,,,,,,,TME,AXW
25-Aug-1997,VAS,,,,,,,,,TME,AXW
26-Aug-1997,VAS,,,,,,,,,TME,AXW
27-Aug-1997,VAS,,,,,,,,,TME,AXW
28-Aug-1997,VAS,,,,,,,,,TME,AXW
29-Aug-1997,VAS,,,,,,,,,TME,AXW
01-Sep-1997,VAS,,,,,,,,,TME,AXW
02-Sep-1997,VAS,,,,,,,,,TME,AXW
03-Sep-1997,VAS,,,,,,,,,TME,AXW
04-Sep-1997,VAS,,,,,,,,,TME,AXW
05-Sep-1997,VAS,,,,,,,,,TME,AXW
08-Sep-1997,VAS,,,,,,,,,TME,AXW
09-Sep-1997,VAS,,,,,,,,,TME,AXW
10-Sep-1997,VAS,,,,,,,,,TME,AXW
11-Sep-1997,VAS,,,,,,,,,TME,AXW
12-Sep-1997,VAS,,,,,,,,,TME,AXW
15-Sep-1997,VAS,,,,,,,,,TME,AXW
16-Sep-1997,VAS,,,,,,,,,TME,AXW
17-Sep-1997,VAS,,,,,,,,,TME,AXW
18-Sep-1997,VAS,,,,,,,,,TME,AXW
19-Sep-1997,VAS,,,,,,,,,TME,AXW
22-Sep-1997,VAS,,,,,,,,,TME,AXW
23-Sep-1997,VAS,,,,,,,,,TME,AXW
24-Sep-1997,VAS,,,,,,,,,TME,AXW
25-Sep-1997,VAS,,,,,,,,,TME,AXW
26-Sep-1997,VAS,,,,,,,,,TME,AXW
29-Sep-1997,VAS,,,,,,,,,TME,AXW
30-Sep-1997,VAS,,,,,,,,,TME,AXW
01-Oct-1997,VAS,,,,,,,,,TME,AXW
02-Oct-1997,VAS,,,,,,,,,TME,AXW
03-Oct-1997,VAS,,,,,,,,,TME,AXW
06-Oct-1997,VAS,,,,,,,,,TME,AXW
07-Oct-1997,VAS,,,,,,,,,TME,AXW
08-Oct-1997,VAS,,,,,,,,,TME,AXW
09-Oct-1997,VAS,,,,,,,,,TME,AXW
10-Oct-1997,VAS,,,,,,,,,TME,AXW
13-Oct-1997,VAS,,,,,,,,,TME,AXW
14-Oct-1997,VAS,,,,,,,,,TME,AXW
15-Oct-1997,VAS,,,,,,,,,TME,AXW
16-Oct-1997,VAS,,,,,,,,,TME,AXW
17-Oct-1997,VAS,,,,,,,,,TME,AXW
20-Oct-1997,VAS,,,,,,,,,TME,AXW
21-Oct-1997,VAS,,,,,,,,,TME,AXW
22-Oct-1997,VAS,,,,,,,,,TME,AXW
23-Oct-1997,VAS,,,,,,,,,TME,AXW
24-Oct-1997,VAS,,,,,,,,,TME,AXW
27-Oct-1997,VAS,,,,,,,,,TME,AXW
28-Oct-1997,VAS,,,,,,,,,TME,AXW
29-Oct-1997,VAS,,,,,,,,,TME,AXW
30-Oct-1997,VAS,,,,,,,,,TME,AXW
31-Oct-1997,VAS,,,,,,,,,TME,AXW
03-Nov-1997,VAS,,,,,,,,,TME,AXW
04-Nov-1997,VAS,,,,,,,,,TME,AXW
05-Nov-1997,VAS,,,,,,,,,TME,AXW
