Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,WES,5.3243,5.3952,5.3243,5.3679,152855,819769,39,0.545,ASX,TME
18-Mar-1997,WES,5.357,5.4224,5.3407,5.4224,751231,4057310,72,0.545,ASX,TME
19-Mar-1997,WES,5.2753,5.2753,5.2317,5.2589,1196073,6371150,76,0.545,ASX,TME
20-Mar-1997,WES,5.26,5.2862,5.2535,5.2589,421883,2224850,59,0.545,ASX,TME
21-Mar-1997,WES,5.2589,5.2644,5.2317,5.2317,280841,1479220,60,0.545,ASX,TME
24-Mar-1997,WES,5.2371,5.2862,5.2371,5.2753,536568,2822240,51,0.545,ASX,TME
25-Mar-1997,WES,5.2862,5.3134,5.2589,5.2589,117600,620665,41,0.545,ASX,TME
26-Mar-1997,WES,5.2371,5.2589,5.2044,5.2099,1516670,5819110,70,0.545,ASX,TME
27-Mar-1997,WES,5.2317,5.3134,5.1772,5.1772,605689,3189000,104,0.545,ASX,TME
28-Mar-1997,WES,,5.1772,5.1772,5.1772,0,0,0,0.545,ASX,TME
31-Mar-1997,WES,,5.1772,5.1772,5.1772,0,0,0,0.545,ASX,TME
01-Apr-1997,WES,5.1227,5.1227,5.0137,5.1172,259257,1310260,60,0.545,ASX,TME
02-Apr-1997,WES,5.1156,5.1499,5.0682,5.139,241406,1235540,59,0.545,ASX,TME
03-Apr-1997,WES,5.1227,5.1227,5.0682,5.1172,326679,1664400,49,0.545,ASX,TME
04-Apr-1997,WES,5.0954,5.0954,5.0736,5.0791,162533,826786,46,0.545,ASX,TME
07-Apr-1997,WES,5.09,5.1118,5.09,5.1118,203637,1039630,47,0.545,ASX,TME
08-Apr-1997,WES,5.1118,5.1499,5.1118,5.1281,659586,3392130,46,0.545,ASX,TME
09-Apr-1997,WES,5.1772,5.3407,5.1772,5.3407,177738,939112,46,0.545,ASX,TME
10-Apr-1997,WES,5.2971,5.3679,5.2971,5.3679,188186,1007450,38,0.545,ASX,TME
11-Apr-1997,WES,5.3679,5.3952,5.3679,5.3952,143712,772486,48,0.545,ASX,TME
14-Apr-1997,WES,5.3352,5.3952,5.3134,5.3952,214977,1157840,25,0.545,ASX,TME
15-Apr-1997,WES,5.3952,5.4497,5.3952,5.4497,99474,539535,34,0.545,ASX,TME
16-Apr-1997,WES,5.4524,5.5042,5.4497,5.4497,58789,321941,37,0.545,ASX,TME
17-Apr-1997,WES,5.4807,5.5587,5.4807,5.5314,116563,646334,34,0.545,ASX,TME
