Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,WTIUSDB,,,,,,,,,PMC,PMC
18-Mar-1997,WTIUSDB,,,,,,,,,PMC,PMC
19-Mar-1997,WTIUSDB,,,,,,,,,PMC,PMC
20-Mar-1997,WTIUSDB,,,,,,,,,PMC,PMC
21-Mar-1997,WTIUSDB,,,,,,,,,PMC,PMC
24-Mar-1997,WTIUSDB,,,,,,,,,PMC,PMC
25-Mar-1997,WTIUSDB,,,,,,,,,PMC,PMC
26-Mar-1997,WTIUSDB,,,,,,,,,PMC,PMC
27-Mar-1997,WTIUSDB,,,,,,,,,PMC,PMC
28-Mar-1997,WTIUSDB,,,,,,,,,PMC,PMC
31-Mar-1997,WTIUSDB,,,,,,,,,PMC,PMC
01-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
02-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
03-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
04-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
07-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
08-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
09-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
10-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
11-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
14-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
15-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
16-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
17-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
18-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
21-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
22-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
23-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
24-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
25-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
28-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
29-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
30-Apr-1997,WTIUSDB,,,,,,,,,PMC,PMC
01-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
02-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
05-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
06-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
07-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
08-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
09-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
12-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
13-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
14-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
15-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
16-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
19-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
20-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
21-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
22-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
23-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
26-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
27-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
28-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
29-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
30-May-1997,WTIUSDB,,,,,,,,,PMC,PMC
02-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
03-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
04-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
05-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
06-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
09-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
10-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
11-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
12-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
13-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
16-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
17-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
18-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
19-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
20-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
23-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
24-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
25-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
26-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
27-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
30-Jun-1997,WTIUSDB,,,,,,,,,PMC,PMC
01-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
02-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
03-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
04-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
07-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
08-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
09-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
10-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
11-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
14-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
15-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
16-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
17-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
18-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
21-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
22-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
23-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
24-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
25-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
28-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
29-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
30-Jul-1997,WTIUSDB,,,,,,,,,PMC,PMC
