Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,XCUUSD,,,,,,,,,NFX,FX
18-Mar-1997,XCUUSD,,,,,,,,,NFX,FX
19-Mar-1997,XCUUSD,,,,,,,,,NFX,FX
20-Mar-1997,XCUUSD,,,,,,,,,NFX,FX
21-Mar-1997,XCUUSD,,,,,,,,,NFX,FX
24-Mar-1997,XCUUSD,,,,,,,,,NFX,FX
25-Mar-1997,XCUUSD,,,,,,,,,NFX,FX
26-Mar-1997,XCUUSD,,,,,,,,,NFX,FX
27-Mar-1997,XCUUSD,,,,,,,,,NFX,FX
28-Mar-1997,XCUUSD,,,,,,,,,NFX,FX
31-Mar-1997,XCUUSD,,,,,,,,,NFX,FX
01-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
02-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
03-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
04-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
07-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
08-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
09-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
10-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
11-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
14-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
15-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
16-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
17-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
18-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
21-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
22-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
23-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
24-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
25-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
28-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
29-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
30-Apr-1997,XCUUSD,,,,,,,,,NFX,FX
01-May-1997,XCUUSD,,,,,,,,,NFX,FX
02-May-1997,XCUUSD,,,,,,,,,NFX,FX
05-May-1997,XCUUSD,,,,,,,,,NFX,FX
06-May-1997,XCUUSD,,,,,,,,,NFX,FX
07-May-1997,XCUUSD,,,,,,,,,NFX,FX
08-May-1997,XCUUSD,,,,,,,,,NFX,FX
09-May-1997,XCUUSD,,,,,,,,,NFX,FX
12-May-1997,XCUUSD,,,,,,,,,NFX,FX
13-May-1997,XCUUSD,,,,,,,,,NFX,FX
14-May-1997,XCUUSD,,,,,,,,,NFX,FX
15-May-1997,XCUUSD,,,,,,,,,NFX,FX
16-May-1997,XCUUSD,,,,,,,,,NFX,FX
19-May-1997,XCUUSD,,,,,,,,,NFX,FX
20-May-1997,XCUUSD,,,,,,,,,NFX,FX
21-May-1997,XCUUSD,,,,,,,,,NFX,FX
22-May-1997,XCUUSD,,,,,,,,,NFX,FX
23-May-1997,XCUUSD,,,,,,,,,NFX,FX
26-May-1997,XCUUSD,,,,,,,,,NFX,FX
27-May-1997,XCUUSD,,,,,,,,,NFX,FX
28-May-1997,XCUUSD,,,,,,,,,NFX,FX
29-May-1997,XCUUSD,,,,,,,,,NFX,FX
30-May-1997,XCUUSD,,,,,,,,,NFX,FX
02-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
03-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
04-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
05-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
06-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
09-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
10-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
11-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
12-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
13-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
16-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
17-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
18-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
19-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
20-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
23-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
24-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
25-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
26-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
27-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
30-Jun-1997,XCUUSD,,,,,,,,,NFX,FX
01-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
02-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
03-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
04-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
07-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
08-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
09-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
10-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
11-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
14-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
15-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
16-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
17-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
18-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
21-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
22-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
23-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
24-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
25-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
28-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
29-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
30-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
31-Jul-1997,XCUUSD,,,,,,,,,NFX,FX
