Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,XJO,,,,2363.6,0,0,0,1,ASX,TME
18-Mar-1997,XJO,,,,2339.6,0,0,0,1,ASX,TME
19-Mar-1997,XJO,,,,2321.2,0,0,0,1,ASX,TME
20-Mar-1997,XJO,,,,2328.8,0,0,0,1,ASX,TME
21-Mar-1997,XJO,,,,2325.7,0,0,0,1,ASX,TME
24-Mar-1997,XJO,,,,2342.6,0,0,0,1,ASX,TME
25-Mar-1997,XJO,,,,2342.6,0,0,0,1,ASX,TME
26-Mar-1997,XJO,,,,2344.1,0,0,0,1,ASX,TME
27-Mar-1997,XJO,,,,2360.5,0,0,0,1,ASX,TME
28-Mar-1997,XJO,,,,2360.5,0,0,0,1,ASX,TME
31-Mar-1997,XJO,,,,2360.5,0,0,0,1,ASX,TME
01-Apr-1997,XJO,,,,2293.8,0,0,0,1,ASX,TME
02-Apr-1997,XJO,,,,2295.9,0,0,0,1,ASX,TME
03-Apr-1997,XJO,,,,2302.9,0,0,0,1,ASX,TME
04-Apr-1997,XJO,,,,2310.9,0,0,0,1,ASX,TME
07-Apr-1997,XJO,,,,2307.6,0,0,0,1,ASX,TME
08-Apr-1997,XJO,,,,2309.3,0,0,0,1,ASX,TME
09-Apr-1997,XJO,,,,2327.7,0,0,0,1,ASX,TME
10-Apr-1997,XJO,,,,2330.6,0,0,0,1,ASX,TME
11-Apr-1997,XJO,,,,2317.8,0,0,0,1,ASX,TME
14-Apr-1997,XJO,,,,2304.5,0,0,0,1,ASX,TME
15-Apr-1997,XJO,,,,2318.7,0,0,0,1,ASX,TME
16-Apr-1997,XJO,,,,2343.6,0,0,0,1,ASX,TME
17-Apr-1997,XJO,,,,2350,0,0,0,1,ASX,TME
18-Apr-1997,XJO,,,,2380.7,0,0,0,1,ASX,TME
21-Apr-1997,XJO,,,,2384.6,0,0,0,1,ASX,TME
22-Apr-1997,XJO,,,,2386.5,0,0,0,1,ASX,TME
23-Apr-1997,XJO,,,,2408.9,0,0,0,1,ASX,TME
24-Apr-1997,XJO,,,,2409.2,0,0,0,1,ASX,TME
25-Apr-1997,XJO,,,,2409.2,0,0,0,1,ASX,TME
28-Apr-1997,XJO,,,,2395.3,0,0,0,1,ASX,TME
29-Apr-1997,XJO,,,,2414.5,0,0,0,1,ASX,TME
30-Apr-1997,XJO,,,,2424.1,0,0,0,1,ASX,TME
01-May-1997,XJO,,,,2421.3,0,0,0,1,ASX,TME
02-May-1997,XJO,,,,2427.3,0,0,0,1,ASX,TME
05-May-1997,XJO,,,,2428,0,0,0,1,ASX,TME
06-May-1997,XJO,,,,2447,0,0,0,1,ASX,TME
07-May-1997,XJO,,,,2453.8,0,0,0,1,ASX,TME
08-May-1997,XJO,,,,2442.7,0,0,0,1,ASX,TME
09-May-1997,XJO,,,,2466.1,0,0,0,1,ASX,TME
12-May-1997,XJO,,,,2464.3,0,0,0,1,ASX,TME
13-May-1997,XJO,,,,2473,0,0,0,1,ASX,TME
14-May-1997,XJO,,,,2467.8,0,0,0,1,ASX,TME
15-May-1997,XJO,,,,2461.8,0,0,0,1,ASX,TME
16-May-1997,XJO,,,,2475.3,0,0,0,1,ASX,TME
19-May-1997,XJO,,,,2469.1,0,0,0,1,ASX,TME
20-May-1997,XJO,,,,2469.2,0,0,0,1,ASX,TME
21-May-1997,XJO,,,,2482.1,0,0,0,1,ASX,TME
22-May-1997,XJO,,,,2488.6,0,0,0,1,ASX,TME
23-May-1997,XJO,,,,2504.9,0,0,0,1,ASX,TME
26-May-1997,XJO,,,,2524.3,0,0,0,1,ASX,TME
27-May-1997,XJO,,,,2515.3,0,0,0,1,ASX,TME
28-May-1997,XJO,,,,2520.5,0,0,0,1,ASX,TME
29-May-1997,XJO,,,,2524.8,0,0,0,1,ASX,TME
30-May-1997,XJO,,,,2544.9,0,0,0,1,ASX,TME
02-Jun-1997,XJO,,,,2560.5,0,0,0,1,ASX,TME
03-Jun-1997,XJO,,,,2545.5,0,0,0,1,ASX,TME
04-Jun-1997,XJO,,,,2546.2,0,0,0,1,ASX,TME
05-Jun-1997,XJO,,,,2535,0,0,0,1,ASX,TME
06-Jun-1997,XJO,,,,2532,0,0,0,1,ASX,TME
09-Jun-1997,XJO,,,,2532,0,0,0,1,ASX,TME
10-Jun-1997,XJO,,,,2563.3,0,0,0,1,ASX,TME
11-Jun-1997,XJO,,,,2546.7,0,0,0,1,ASX,TME
12-Jun-1997,XJO,,,,2573.9,0,0,0,1,ASX,TME
13-Jun-1997,XJO,,,,2591,0,0,0,1,ASX,TME
16-Jun-1997,XJO,,,,2606.2,0,0,0,1,ASX,TME
17-Jun-1997,XJO,,,,2620.1,0,0,0,1,ASX,TME
18-Jun-1997,XJO,,,,2612.7,0,0,0,1,ASX,TME
19-Jun-1997,XJO,,,,2635.4,0,0,0,1,ASX,TME
20-Jun-1997,XJO,,,,2654,0,0,0,1,ASX,TME
23-Jun-1997,XJO,,,,2647.4,0,0,0,1,ASX,TME
24-Jun-1997,XJO,,,,2629.3,0,0,0,1,ASX,TME
25-Jun-1997,XJO,,,,2646.3,0,0,0,1,ASX,TME
26-Jun-1997,XJO,,,,2640.6,0,0,0,1,ASX,TME
27-Jun-1997,XJO,,,,2641.8,0,0,0,1,ASX,TME
30-Jun-1997,XJO,,,,2664.7,0,0,0,1,ASX,TME
01-Jul-1997,XJO,,,,2660.2,0,0,0,1,ASX,TME
02-Jul-1997,XJO,,,,2685.8,0,0,0,1,ASX,TME
03-Jul-1997,XJO,,,,2681.3,0,0,0,1,ASX,TME
04-Jul-1997,XJO,,,,2673.1,0,0,0,1,ASX,TME
07-Jul-1997,XJO,,,,2653.7,0,0,0,1,ASX,TME
08-Jul-1997,XJO,,,,2621.8,0,0,0,1,ASX,TME
09-Jul-1997,XJO,,,,2637,0,0,0,1,ASX,TME
10-Jul-1997,XJO,,,,2635.8,0,0,0,1,ASX,TME
11-Jul-1997,XJO,,,,2641.1,0,0,0,1,ASX,TME
14-Jul-1997,XJO,,,,2614,0,0,0,1,ASX,TME
15-Jul-1997,XJO,,,,2577.8,0,0,0,1,ASX,TME
16-Jul-1997,XJO,,,,2588.6,0,0,0,1,ASX,TME
17-Jul-1997,XJO,,,,2612.7,0,0,0,1,ASX,TME
18-Jul-1997,XJO,,,,2626.8,0,0,0,1,ASX,TME
21-Jul-1997,XJO,,,,2595.8,0,0,0,1,ASX,TME
22-Jul-1997,XJO,,,,2597.7,0,0,0,1,ASX,TME
23-Jul-1997,XJO,,,,2624.1,0,0,0,1,ASX,TME
24-Jul-1997,XJO,,,,2617.1,0,0,0,1,ASX,TME
25-Jul-1997,XJO,,,,2631.9,0,0,0,1,ASX,TME
28-Jul-1997,XJO,,,,2664.8,0,0,0,1,ASX,TME
29-Jul-1997,XJO,,,,2671.7,0,0,0,1,ASX,TME
30-Jul-1997,XJO,,,,2672.7,0,0,0,1,ASX,TME
31-Jul-1997,XJO,,,,2673.7,0,0,0,1,ASX,TME
01-Aug-1997,XJO,,,,2663,0,0,0,1,ASX,TME
04-Aug-1997,XJO,,,,2641.9,0,0,0,1,ASX,TME
05-Aug-1997,XJO,,,,2642.3,0,0,0,1,ASX,TME
06-Aug-1997,XJO,,,,2662.6,0,0,0,1,ASX,TME
07-Aug-1997,XJO,,,,2652.5,0,0,0,1,ASX,TME
08-Aug-1997,XJO,,,,2643.8,0,0,0,1,ASX,TME
11-Aug-1997,XJO,,,,2600.9,0,0,0,1,ASX,TME
12-Aug-1997,XJO,,,,2583.4,0,0,0,1,ASX,TME
13-Aug-1997,XJO,,,,2559.7,0,0,0,1,ASX,TME
14-Aug-1997,XJO,,,,2564,0,0,0,1,ASX,TME
15-Aug-1997,XJO,,,,2602.2,0,0,0,1,ASX,TME
18-Aug-1997,XJO,,,,2555.4,0,0,0,1,ASX,TME
19-Aug-1997,XJO,,,,2557.5,0,0,0,1,ASX,TME
20-Aug-1997,XJO,,,,2567.2,0,0,0,1,ASX,TME
21-Aug-1997,XJO,,,,2584.5,0,0,0,1,ASX,TME
22-Aug-1997,XJO,,,,2554.6,0,0,0,1,ASX,TME
25-Aug-1997,XJO,,,,2571.5,0,0,0,1,ASX,TME
26-Aug-1997,XJO,,,,2558.8,0,0,0,1,ASX,TME
27-Aug-1997,XJO,,,,2557.9,0,0,0,1,ASX,TME
28-Aug-1997,XJO,,,,2563.2,0,0,0,1,ASX,TME
29-Aug-1997,XJO,,,,2526.8,0,0,0,1,ASX,TME
01-Sep-1997,XJO,,,,2525.3,0,0,0,1,ASX,TME
02-Sep-1997,XJO,,,,2515.7,0,0,0,1,ASX,TME
03-Sep-1997,XJO,,,,2553.2,0,0,0,1,ASX,TME
04-Sep-1997,XJO,,,,2542.9,0,0,0,1,ASX,TME
05-Sep-1997,XJO,,,,2561.2,0,0,0,1,ASX,TME
08-Sep-1997,XJO,,,,2590.4,0,0,0,1,ASX,TME
09-Sep-1997,XJO,,,,2609.9,0,0,0,1,ASX,TME
10-Sep-1997,XJO,,,,2600.8,0,0,0,1,ASX,TME
11-Sep-1997,XJO,,,,2602,0,0,0,1,ASX,TME
12-Sep-1997,XJO,,,,2575.9,0,0,0,1,ASX,TME
15-Sep-1997,XJO,,,,2599.5,0,0,0,1,ASX,TME
16-Sep-1997,XJO,,,,2588.7,0,0,0,1,ASX,TME
17-Sep-1997,XJO,,,,2616,0,0,0,1,ASX,TME
18-Sep-1997,XJO,,,,2634.5,0,0,0,1,ASX,TME
19-Sep-1997,XJO,,,,2671,0,0,0,1,ASX,TME
22-Sep-1997,XJO,,,,2705.7,0,0,0,1,ASX,TME
23-Sep-1997,XJO,,,,2718.2,0,0,0,1,ASX,TME
24-Sep-1997,XJO,,,,2708.3,0,0,0,1,ASX,TME
25-Sep-1997,XJO,,,,2717.3,0,0,0,1,ASX,TME
26-Sep-1997,XJO,,,,2714.9,0,0,0,1,ASX,TME
29-Sep-1997,XJO,,,,2713,0,0,0,1,ASX,TME
30-Sep-1997,XJO,,,,2703.1,0,0,0,1,ASX,TME
01-Oct-1997,XJO,,,,2716.7,0,0,0,1,ASX,TME
02-Oct-1997,XJO,,,,2717.6,0,0,0,1,ASX,TME
03-Oct-1997,XJO,,,,2701.1,0,0,0,1,ASX,TME
06-Oct-1997,XJO,,,,2707.9,0,0,0,1,ASX,TME
07-Oct-1997,XJO,,,,2692.8,0,0,0,1,ASX,TME
08-Oct-1997,XJO,,,,2706.7,0,0,0,1,ASX,TME
09-Oct-1997,XJO,,,,2660.7,0,0,0,1,ASX,TME
10-Oct-1997,XJO,,,,2631.8,0,0,0,1,ASX,TME
13-Oct-1997,XJO,,,,2599.7,0,0,0,1,ASX,TME
14-Oct-1997,XJO,,,,2598.7,0,0,0,1,ASX,TME
15-Oct-1997,XJO,,,,2590.9,0,0,0,1,ASX,TME
16-Oct-1997,XJO,,,,2589.1,0,0,0,1,ASX,TME
17-Oct-1997,XJO,,,,2582.8,0,0,0,1,ASX,TME
20-Oct-1997,XJO,,,,2578.4,0,0,0,1,ASX,TME
21-Oct-1997,XJO,,,,2589.5,0,0,0,1,ASX,TME
22-Oct-1997,XJO,,,,2621.9,0,0,0,1,ASX,TME
23-Oct-1997,XJO,,,,2553.8,0,0,0,1,ASX,TME
24-Oct-1997,XJO,,,,2502.9,0,0,0,1,ASX,TME
27-Oct-1997,XJO,,,,2425.5,0,0,0,1,ASX,TME
28-Oct-1997,XJO,,,,2260.9,0,0,0,1,ASX,TME
29-Oct-1997,XJO,,,,2394.1,0,0,0,1,ASX,TME
30-Oct-1997,XJO,,,,2389.1,0,0,0,1,ASX,TME
31-Oct-1997,XJO,,,,2415,0,0,0,1,ASX,TME
03-Nov-1997,XJO,,,,2454.4,0,0,0,1,ASX,TME
04-Nov-1997,XJO,,,,2500.3,0,0,0,1,ASX,TME
05-Nov-1997,XJO,,,,2497.1,0,0,0,1,ASX,TME
06-Nov-1997,XJO,,,,2526.2,0,0,0,1,ASX,TME
07-Nov-1997,XJO,,,,2464.5,0,0,0,1,ASX,TME
10-Nov-1997,XJO,,,,2474.3,0,0,0,1,ASX,TME
11-Nov-1997,XJO,,,,2476.3,0,0,0,1,ASX,TME
12-Nov-1997,XJO,,,,2463.5,0,0,0,1,ASX,TME
13-Nov-1997,XJO,,,,2459.3,0,0,0,1,ASX,TME
14-Nov-1997,XJO,,,,2433.4,0,0,0,1,ASX,TME
17-Nov-1997,XJO,,,,2441.3,0,0,0,1,ASX,TME
18-Nov-1997,XJO,,,,2422.7,0,0,0,1,ASX,TME
19-Nov-1997,XJO,,,,2396,0,0,0,1,ASX,TME
20-Nov-1997,XJO,,,,2389.1,0,0,0,1,ASX,TME
21-Nov-1997,XJO,,,,2437.2,0,0,0,1,ASX,TME
24-Nov-1997,XJO,,,,2436.2,0,0,0,1,ASX,TME
25-Nov-1997,XJO,,,,2411.8,0,0,0,1,ASX,TME
26-Nov-1997,XJO,,,,2421.5,0,0,0,1,ASX,TME
27-Nov-1997,XJO,,,,2422,0,0,0,1,ASX,TME
28-Nov-1997,XJO,,,,2424.1,0,0,0,1,ASX,TME
01-Dec-1997,XJO,,,,2472,0,0,0,1,ASX,TME
02-Dec-1997,XJO,,,,2480.7,0,0,0,1,ASX,TME
03-Dec-1997,XJO,,,,2515.6,0,0,0,1,ASX,TME
04-Dec-1997,XJO,,,,2505.5,0,0,0,1,ASX,TME
05-Dec-1997,XJO,,,,2513,0,0,0,1,ASX,TME
08-Dec-1997,XJO,,,,2544.6,0,0,0,1,ASX,TME
09-Dec-1997,XJO,,,,2540.8,0,0,0,1,ASX,TME
10-Dec-1997,XJO,,,,2511.2,0,0,0,1,ASX,TME
11-Dec-1997,XJO,,,,2474.2,0,0,0,1,ASX,TME
12-Dec-1997,XJO,,,,2448.3,0,0,0,1,ASX,TME
15-Dec-1997,XJO,,,,2453,0,0,0,1,ASX,TME
16-Dec-1997,XJO,,,,2466.7,0,0,0,1,ASX,TME
17-Dec-1997,XJO,,,,2517.6,0,0,0,1,ASX,TME
18-Dec-1997,XJO,,,,2518.1,0,0,0,1,ASX,TME
19-Dec-1997,XJO,,,,2480.5,0,0,0,1,ASX,TME
22-Dec-1997,XJO,,,,2459.4,0,0,0,1,ASX,TME
23-Dec-1997,XJO,,,,2512.1,0,0,0,1,ASX,TME
24-Dec-1997,XJO,,,,2507.5,0,0,0,1,ASX,TME
25-Dec-1997,XJO,,,,2507.5,0,0,0,1,ASX,TME
26-Dec-1997,XJO,,,,2507.5,0,0,0,1,ASX,TME
29-Dec-1997,XJO,,,,2527.9,0,0,0,1,ASX,TME
30-Dec-1997,XJO,,,,2553.4,0,0,0,1,ASX,TME
31-Dec-1997,XJO,,,,2567.4,0,0,0,1,ASX,TME
01-Jan-1998,XJO,,,,2567.4,0,0,0,1,ASX,TME
02-Jan-1998,XJO,,,,2560.4,0,0,0,1,ASX,TME
05-Jan-1998,XJO,,,,2596,0,0,0,1,ASX,TME
06-Jan-1998,XJO,,,,2637,0,0,0,1,ASX,TME
07-Jan-1998,XJO,,,,2599.5,0,0,0,1,ASX,TME
08-Jan-1998,XJO,,,,2602.9,0,0,0,1,ASX,TME
09-Jan-1998,XJO,,,,2552,0,0,0,1,ASX,TME
12-Jan-1998,XJO,,,,2492,0,0,0,1,ASX,TME
13-Jan-1998,XJO,,,,2513.6,0,0,0,1,ASX,TME
14-Jan-1998,XJO,,,,2556.3,0,0,0,1,ASX,TME
15-Jan-1998,XJO,,,,2535.4,0,0,0,1,ASX,TME
16-Jan-1998,XJO,,,,2565,0,0,0,1,ASX,TME
19-Jan-1998,XJO,,,,2603.9,0,0,0,1,ASX,TME
20-Jan-1998,XJO,,,,2589.9,0,0,0,1,ASX,TME
21-Jan-1998,XJO,,,,2574.6,0,0,0,1,ASX,TME
22-Jan-1998,XJO,,,,2552.2,0,0,0,1,ASX,TME
23-Jan-1998,XJO,,,,2572.6,0,0,0,1,ASX,TME
26-Jan-1998,XJO,,,,2572.6,0,0,0,1,ASX,TME
27-Jan-1998,XJO,,,,2550.7,0,0,0,1,ASX,TME
28-Jan-1998,XJO,,,,2569,0,0,0,1,ASX,TME
29-Jan-1998,XJO,,,,2588.8,0,0,0,1,ASX,TME
30-Jan-1998,XJO,,,,2600.8,0,0,0,1,ASX,TME
02-Feb-1998,XJO,,,,2613.6,0,0,0,1,ASX,TME
03-Feb-1998,XJO,,,,2597.7,0,0,0,1,ASX,TME
04-Feb-1998,XJO,,,,2601.9,0,0,0,1,ASX,TME
05-Feb-1998,XJO,,,,2600.8,0,0,0,1,ASX,TME
06-Feb-1998,XJO,,,,2601.2,0,0,0,1,ASX,TME
09-Feb-1998,XJO,,,,2630.7,0,0,0,1,ASX,TME
10-Feb-1998,XJO,,,,2611.5,0,0,0,1,ASX,TME
11-Feb-1998,XJO,,,,2619.5,0,0,0,1,ASX,TME
12-Feb-1998,XJO,,,,2613.2,0,0,0,1,ASX,TME
13-Feb-1998,XJO,,,,2591.6,0,0,0,1,ASX,TME
16-Feb-1998,XJO,,,,2559,0,0,0,1,ASX,TME
17-Feb-1998,XJO,,,,2595.1,0,0,0,1,ASX,TME
18-Feb-1998,XJO,,,,2599.7,0,0,0,1,ASX,TME
19-Feb-1998,XJO,,,,2593.4,0,0,0,1,ASX,TME
20-Feb-1998,XJO,,,,2578.3,0,0,0,1,ASX,TME
23-Feb-1998,XJO,,,,2586.8,0,0,0,1,ASX,TME
24-Feb-1998,XJO,,,,2596.4,0,0,0,1,ASX,TME
25-Feb-1998,XJO,,,,2605.3,0,0,0,1,ASX,TME
26-Feb-1998,XJO,,,,2627.2,0,0,0,1,ASX,TME
27-Feb-1998,XJO,,,,2626.9,0,0,0,1,ASX,TME
02-Mar-1998,XJO,,,,2629.8,0,0,0,1,ASX,TME
03-Mar-1998,XJO,,,,2620.1,0,0,0,1,ASX,TME
04-Mar-1998,XJO,,,,2644.3,0,0,0,1,ASX,TME
05-Mar-1998,XJO,,,,2591.8,0,0,0,1,ASX,TME
06-Mar-1998,XJO,,,,2609.3,0,0,0,1,ASX,TME
09-Mar-1998,XJO,,,,2626.1,0,0,0,1,ASX,TME
10-Mar-1998,XJO,,,,2635.2,0,0,0,1,ASX,TME
11-Mar-1998,XJO,,,,2655.4,0,0,0,1,ASX,TME
12-Mar-1998,XJO,,,,2661.5,0,0,0,1,ASX,TME
13-Mar-1998,XJO,,,,2670.9,0,0,0,1,ASX,TME
16-Mar-1998,XJO,,,,2669.5,0,0,0,1,ASX,TME
17-Mar-1998,XJO,,,,2706.8,0,0,0,1,ASX,TME
