Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
17-Mar-1997,XRPUSD,,,,,,,,,IRX,CX
18-Mar-1997,XRPUSD,,,,,,,,,IRX,CX
19-Mar-1997,XRPUSD,,,,,,,,,IRX,CX
20-Mar-1997,XRPUSD,,,,,,,,,IRX,CX
21-Mar-1997,XRPUSD,,,,,,,,,IRX,CX
24-Mar-1997,XRPUSD,,,,,,,,,IRX,CX
25-Mar-1997,XRPUSD,,,,,,,,,IRX,CX
26-Mar-1997,XRPUSD,,,,,,,,,IRX,CX
27-Mar-1997,XRPUSD,,,,,,,,,IRX,CX
28-Mar-1997,XRPUSD,,,,,,,,,IRX,CX
31-Mar-1997,XRPUSD,,,,,,,,,IRX,CX
01-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
02-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
03-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
04-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
07-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
08-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
09-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
10-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
11-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
14-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
15-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
16-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
17-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
18-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
21-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
22-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
23-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
24-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
25-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
28-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
29-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
30-Apr-1997,XRPUSD,,,,,,,,,IRX,CX
01-May-1997,XRPUSD,,,,,,,,,IRX,CX
02-May-1997,XRPUSD,,,,,,,,,IRX,CX
05-May-1997,XRPUSD,,,,,,,,,IRX,CX
06-May-1997,XRPUSD,,,,,,,,,IRX,CX
07-May-1997,XRPUSD,,,,,,,,,IRX,CX
08-May-1997,XRPUSD,,,,,,,,,IRX,CX
09-May-1997,XRPUSD,,,,,,,,,IRX,CX
12-May-1997,XRPUSD,,,,,,,,,IRX,CX
13-May-1997,XRPUSD,,,,,,,,,IRX,CX
