date,fund_name,fund,benchmark
2020-01-31,Fund_A,0.024,0.015
2020-02-29,Fund_A,-0.026,-0.025
2020-03-31,Fund_A,-0.055,-0.080
2020-04-30,Fund_A,0.050,0.035
2020-05-31,Fund_A,0.020,0.012
2020-06-30,Fund_A,0.012,0.008
2020-01-31,Fund_B,0.017,0.015
2020-02-29,Fund_B,-0.027,-0.025
2020-03-31,Fund_B,-0.068,-0.080
2020-04-30,Fund_B,0.040,0.035
2020-05-31,Fund_B,0.013,0.012
2020-06-30,Fund_B,0.008,0.008
2020-01-31,Fund_C,0.012,0.015
2020-02-29,Fund_C,-0.038,-0.025
2020-03-31,Fund_C,-0.074,-0.080
2020-04-30,Fund_C,0.032,0.035
2020-05-31,Fund_C,0.009,0.012
2020-06-30,Fund_C,0.004,0.008
