Date,Code,Open,High,Low,Close,Volume,Value,Trans,Adj,Exchange,DataSource
01-Feb-2018,AAPL,0.4179,0.4216,0.4169,0.4194,189537940,7959426098,309149,0.25,NAS,USXE
02-Feb-2018,AAPL,0.415,0.417,0.4002,0.4012,347904496,14172890566,603830,0.25,NAS,USXE
05-Feb-2018,AAPL,0.3977,0.4097,0.39,0.3912,291049384,11673630072,528524,0.25,NAS,USXE
06-Feb-2018,AAPL,0.3871,0.4093,0.385,0.4076,273001160,10896333105,506752,0.25,NAS,USXE
07-Feb-2018,AAPL,0.4077,0.4085,0.3977,0.3988,209426552,8435900928,341979,0.25,NAS,USXE
08-Feb-2018,AAPL,,0.4100,0.395,,280000000,9000000000,350000,0.25,NAS,USXE
09-Feb-2018,AAPL,0.4102,0.4200,0.4050,0.4180,NaN,9500000000,360000,0.25,NAS,USXE
32-Feb-2018,AAPL,0.4120,0.4190,0.4070,0.4150,250000000,9200000000,340000,0.25,NAS,USXE
07-Feb-2018,AAPL,0.4077,0.4085,0.3977,0.3988,209426552,8435900928,341979,0.25,NAS,USXE
10-Feb-2018,AAPL,abc,0.4210,0.4100,0.4190,260000000,9700000000,370000,0.25,NAS,USXE
11-Feb-2018,AAPL,0.4130,0.4220,0.4120,12000,265000000,9800000000,375000,0.25,NAS,USXE
